understandable terms,📝😃,"[':memo:', ':smiling_face_with_open_mouth:']",Direct,CLARITY
transparent policy,🔎📜,"[':magnifying_glass_tilted_right:', ':scroll:']",Direct,CLARITY
direct statement,➡️💬,"[':right_arrow:', ':speech_balloon:']",Direct,CLARITY
unambiguous direction,🧭✅,"[':compass:', ':check_mark_button:']",Direct,CLARITY
obvious conclusion,💡🏁,"[':light_bulb:', ':chequered_flag:']",Direct,CLARITY
plain explanation,👀🗣,"[':eyes:', ':speaking_head:']",Direct,CLARITY
transparent glass,🥃✨,"[':tumbler_glass:', ':sparkles:']",Direct,CLEARNESS
crystalline water,💧💎,"[':droplet:', ':gem_stone:']",Direct,CLEARNESS
lucid reflection,🪞🔆,"[':mirror:', ':bright_button:']",Direct,CLEARNESS
shining window,🪟🌟,"[':window:', ':glowing_star:']",Direct,CLEARNESS
unclouded mirror,🪞👀,"[':mirror:', ':eyes:']",Direct,CLEARNESS
see-through shield,🛡️🔎,"[':shield:', ':magnifying_glass_tilted_right:']",Direct,CLEARNESS
pure lens,👓💯,"[':glasses:', ':hundred_points:']",Direct,CLEARNESS
pristine screen,📱✨,"[':mobile_phone:', ':sparkles:']",Direct,CLEARNESS
vivid painting,🎨🌈,"[':artist_palette:', ':rainbow:']",Direct,COLOR
pale wallpaper,🖼️🤍,"[':framed_picture:', ':white_heart:']",Direct,COLOR
bright curtains,🔆🪟,"[':bright_button:', ':window:']",Direct,COLOR
pastel design,🌸🟦,"[':cherry_blossom:', ':blue_square:']",Direct,COLOR
neon jacket,🔆🧥,"[':bright_button:', ':coat:']",Direct,COLOR
monotone poster,⚪⚫,"[':white_circle:', ':black_circle:']",Direct,COLOR
contrasting stripes,⚫⚪,"[':black_circle:', ':white_circle:']",Direct,COLOR
rainbow logo,🌈📛,"[':rainbow:', ':name_badge:']",Direct,COLOR
shared ground,👥🌍,"[':busts_in_silhouette:', ':globe_showing_Europe-Africa:']",Direct,COMMONALITY
mutual territory,🤝🏞,"[':handshake:', ':national_park:']",Direct,COMMONALITY
collective park,👥🏕,"[':busts_in_silhouette:', ':camping:']",Direct,COMMONALITY
joint area,✌️🏠,"[':victory_hand:', ':house:']",Direct,COMMONALITY
communal space,👨‍👩‍👧‍👦🏘️,"[':family:', ':houses:']",Direct,COMMONALITY
public zone,🏫👥,"[':school:', ':busts_in_silhouette:']",Direct,COMMONALITY
universal yard,🌐🏡,"[':globe_with_meridians:', ':house_with_garden:']",Direct,COMMONALITY
open domain,🔓🌍,"[':unlocked:', ':globe_showing_Europe-Africa:']",Direct,COMMONALITY
typical reaction,😕🙋,"[':confused_face:', ':person_raising_hand:']",Direct,COMMONNESS
everyday habit,📅🔁,"[':calendar:', ':repeat:']",Direct,COMMONNESS
usual crowd,👥🙂,"[':busts_in_silhouette:', ':slightly_smiling_face:']",Direct,COMMONNESS
normal phenomenon,🔄🌦,"[':counterclockwise_arrows_button:', ':sun_behind_rain_cloud:']",Direct,COMMONNESS
ordinary preference,🤷‍♂️🍔,"[':man_shrugging:', ':hamburger:']",Direct,COMMONNESS
typical thought,💭🧍,"[':thought_balloon:', ':person_standing:']",Direct,COMMONNESS
standard routine,💼🔁,"[':briefcase:', ':repeat:']",Direct,COMMONNESS
everyday question,❓😶,"[':red_question_mark:', ':face_without_mouth:']",Direct,COMMONNESS
finished puzzle,🧩🏆,"[':jigsaw:', ':trophy:']",Direct,COMPLETENESS
entire set,📦✅,"[':package:', ':check_mark_button:']",Direct,COMPLETENESS
total package,📦💯,"[':package:', ':hundred_points:']",Direct,COMPLETENESS
comprehensive list,📜💯,"[':scroll:', ':hundred_points:']",Direct,COMPLETENESS
full circle,⭕✔️,"[':hollow_red_circle:', ':check_mark:']",Direct,COMPLETENESS
concluded process,🏁🔚,"[':chequered_flag:', ':end:']",Direct,COMPLETENESS
absolute coverage,🌐💯,"[':globe_with_meridians:', ':hundred_points:']",Direct,COMPLETENESS
entire story,📖🏅,"[':open_book:', ':sports_medal:']",Direct,COMPLETENESS
uniform texture,🔁🧈,"[':repeat:', ':butter:']",Direct,CONSISTENCY
even mixture,🥣🔄,"[':bowl_with_spoon:', ':counterclockwise_arrows_button:']",Direct,CONSISTENCY
smooth batter,🍰🤏,"[':shortcake:', ':pinching_hand:']",Direct,CONSISTENCY
constant density,♾️💧,"[':infinity:', ':droplet:']",Direct,CONSISTENCY
coherent blend,🪄🥛,"[':magic_wand:', ':glass_of_milk:']",Direct,CONSISTENCY
thick sauce,🍝💪,"[':spaghetti:', ':flexed_biceps:']",Direct,CONSISTENCY
stable formula,🧪🔒,"[':test_tube:', ':locked:']",Direct,CONSISTENCY
homogeneous dough,🥖➡️🥖,"[':baguette_bread:', ':right_arrow:', ':baguette_bread:']",Direct,CONSISTENCY
unwavering loyalty,🤝🔒,"[':handshake:', ':locked:']",Direct,CONSTANCY
enduring bond,💞♾️,"[':revolving_hearts:', ':infinity:']",Direct,CONSTANCY
perpetual friend,🔂👥,"[':repeat_single_button:', ':busts_in_silhouette:']",Direct,CONSTANCY
abiding trust,🏛️✔️,"[':classical_building:', ':check_mark:']",Direct,CONSTANCY
endless affection,❤️♾️,"[':red_heart:', ':infinity:']",Direct,CONSTANCY
permanent fixture,📌🔁,"[':pushpin:', ':repeat:']",Direct,CONSTANCY
unchanging vow,🤞🔒,"[':crossed_fingers:', ':locked:']",Direct,CONSTANCY
unceasing devotion,⏳❤️,"[':hourglass_not_done:', ':red_heart:']",Direct,CONSTANCY
uninterrupted stream,📡🌐,"[':satellite:', ':globe_with_meridians:']",Direct,CONTINUITY
ongoing progress,🔂📈,"[':repeat_single_button:', ':chart_increasing:']",Direct,CONTINUITY
perpetual motion,♾️🏃,"[':infinity:', ':person_running:']",Direct,CONTINUITY
lasting sequence,🔄1️⃣,"[':counterclockwise_arrows_button:', ':keycap_digit_one:']",Direct,CONTINUITY
continuous loop,🔁🔁,"[':repeat:', ':repeat:']",Direct,CONTINUITY
unbroken chain,⛓️♾️,"[':chains:', ':infinity:']",Direct,CONTINUITY
sustained effort,💪⏳,"[':flexed_biceps:', ':hourglass_not_done:']",Direct,CONTINUITY
uninterrupted thread,🧵🌀,"[':thread:', ':cyclone:']",Direct,CONTINUITY
accurate count,✔️🔢,"[':check_mark:', ':input_numbers:']",Direct,CORRECTNESS
precise measurement,📏✅,"[':straight_ruler:', ':check_mark_button:']",Direct,CORRECTNESS
verified data,📊🆗,"[':bar_chart:', ':OK_button:']",Direct,CORRECTNESS
valid ticket,🎫✔️,"[':ticket:', ':check_mark:']",Direct,CORRECTNESS
exact location,📍💯,"[':round_pushpin:', ':hundred_points:']",Direct,CORRECTNESS
proper code,👨‍💻👍,"[':man_technologist:', ':thumbs_up:']",Direct,CORRECTNESS
right calculation,🧮➡️,"[':abacus:', ':right_arrow:']",Direct,CORRECTNESS
correct formula,🔢✅,"[':input_numbers:', ':check_mark_button:']",Direct,CORRECTNESS
urgent lockdown,🚫🚨,"[':no_entry_sign:', ':police_car_light:']",Direct,CRISIS
severe meltdown,💥💀,"[':collision:', ':skull:']",Direct,CRISIS
emergency exit,🏃❗,"[':person_running:', ':red_exclamation_mark:']",Direct,CRISIS
dire shortage,📉🥫,"[':chart_decreasing:', ':canned_food:']",Direct,CRISIS
pressing danger,⏰⚠️,"[':alarm_clock:', ':warning:']",Direct,CRISIS
critical meltdown,⛔😱,"[':no_entry:', ':face_screaming_in_fear:']",Direct,CRISIS
catastrophic collapse,🌋💔,"[':volcano:', ':broken_heart:']",Direct,CRISIS
severe crash,💢🚗,"[':anger_symbol:', ':automobile:']",Direct,CRISIS
pivotal moment,⏳🤔,"[':hourglass_not_done:', ':thinking_face:']",Direct,CRITICALITY
essential factor,🔑⚠️,"[':key:', ':warning:']",Direct,CRITICALITY
tipping point,⚖️🔄,"[':balance_scale:', ':counterclockwise_arrows_button:']",Direct,CRITICALITY
crucial threshold,🚪‼️,"[':door:', ':double_exclamation_mark:']",Direct,CRITICALITY
deciding angle,📐⚠️,"[':triangular_ruler:', ':warning:']",Direct,CRITICALITY
make-or-break juncture,🕒💥,"[':clock3:', ':collision:']",Direct,CRITICALITY
crucial junction,🛣️❗,"[':motorway:', ':red_exclamation_mark:']",Direct,CRITICALITY
vital crossroads,🔀🚨,"[':twisted_rightwards_arrows:', ':police_car_light:']",Direct,CRITICALITY
maximum effort,🔝💪,"[':TOP_arrow:', ':flexed_biceps:']",Direct,DEGREE
minimal impact,🔻💥,"[':red_triangle_pointed_down:', ':collision:']",Direct,DEGREE
moderate success,〰️🏆,"[':wavy_dash:', ':trophy:']",Direct,DEGREE
extreme caution,⚠️⚠️,"[':warning:', ':warning:']",Direct,DEGREE
partial failure,🈳❌,"[':Japanese_empty_button:', ':cross_mark:']",Direct,DEGREE
heightened threat,📈💣,"[':chart_increasing:', ':bomb:']",Direct,DEGREE
reduced cost,⬇️💲,"[':down_arrow:', ':heavy_dollar_sign:']",Direct,DEGREE
optional item,❓📦,"[':red_question_mark:', ':package:']",Direct,DISPENSABILITY
nonessential tool,🙅🔧,"[':person_gesturing_NO:', ':wrench:']",Direct,DISPENSABILITY
removable part,↔️⚙️,"[':left-right_arrow:', ':gear:']",Direct,DISPENSABILITY
disposable wrapper,🗑️🧻,"[':wastebasket:', ':roll_of_paper:']",Direct,DISPENSABILITY
redundant accessory,🙅‍♀️💍,"[':woman_gesturing_NO:', ':ring:']",Direct,DISPENSABILITY
surplus stock,📦📦🤷,"[':package:', ':package:', ':person_shrugging:']",Direct,DISPENSABILITY
unnecessary detail,❌📝,"[':cross_mark:', ':memo:']",Direct,DISPENSABILITY
home laundry,🏠🧺,"[':house:', ':basket:']",Direct,DOMESTICITY
family dinner,👨‍👩‍👧‍👦🍲,"[':family:', ':stew:']",Direct,DOMESTICITY
weekend chores,🧹🧼,"[':broom:', ':soap:']",Direct,DOMESTICITY
house pet,🏠🐈,"[':house:', ':cat:']",Direct,DOMESTICITY
cozy lounge,🛋️🔆,"[':couch_and_lamp:', ':bright_button:']",Direct,DOMESTICITY
living room talk,🏠🗣,"[':house:', ':speaking_head:']",Direct,DOMESTICITY
home routine,🏠🔄,"[':house:', ':counterclockwise_arrows_button:']",Direct,DOMESTICITY
extended holiday,🧳🌐,"[':luggage:', ':globe_with_meridians:']",Direct,DURATION
prolonged wait,⏰📉,"[':alarm_clock:', ':chart_decreasing:']",Direct,DURATION
lengthy process,🔂⏳,"[':repeat_single_button:', ':hourglass_not_done:']",Direct,DURATION
brief meeting,🤏👥,"[':pinching_hand:', ':busts_in_silhouette:']",Direct,DURATION
short workout,🤏💪,"[':pinching_hand:', ':flexed_biceps:']",Direct,DURATION
indefinite pause,❔⏱️,"[':grey_question_mark:', ':stopwatch:']",Direct,DURATION
continuous watch,🔄⌚,"[':counterclockwise_arrows_button:', ':watch:']",Direct,DURATION
potent cure,💊⚡,"[':pill:', ':high_voltage:']",Direct,EFFICACY
strong discipline,👮💥,"[':police_officer:', ':collision:']",Direct,EFFICACY
decisive scolding,🗣️❗,"[':speaking_head:', ':red_exclamation_mark:']",Direct,EFFICACY
conclusive penalty,🔒⚖️,"[':locked:', ':balance_scale:']",Direct,EFFICACY
forceful reminder,📢💪,"[':loudspeaker:', ':flexed_biceps:']",Direct,EFFICACY
successful crackdown,✔️👮‍♂️,"[':check_mark:', ':man_police_officer:']",Direct,EFFICACY
effective measure,✅📏,"[':check_mark_button:', ':straight_ruler:']",Direct,EFFICACY
working solution,🧩🔧,"[':jigsaw:', ':wrench:']",Direct,EFFECTIVENESS
impactful strategy,🎯💥,"[':dart:', ':collision:']",Direct,EFFECTIVENESS
productive step,✅🚶‍♀️,"[':check_mark_button:', ':woman_walking:']",Direct,EFFECTIVENESS
successful entry,🙌🚪,"[':raising_hands:', ':door:']",Direct,EFFECTIVENESS
reliable outcome,📝👍,"[':memo:', ':thumbs_up:']",Direct,EFFECTIVENESS
beneficial policy,🧑‍💼📈,"[':office_worker:', ':chart_increasing:']",Direct,EFFECTIVENESS
practical method,🧰⚙️,"[':toolbox:', ':gear:']",Direct,EFFECTIVENESS
passionate plea,🔥🙏,"[':fire:', ':folded_hands:']",Direct,EMOTIONALITY
tearful apology,😢🙇,"[':crying_face:', ':person_bowing:']",Direct,EMOTIONALITY
cheerful grin,😄🎉,"[':grinning_face_with_smiling_eyes:', ':party_popper:']",Direct,EMOTIONALITY
timid approach,😬➡️,"[':grimacing_face:', ':right_arrow:']",Direct,EMOTIONALITY
joyful dance,💃😊,"[':woman_dancing:', ':smiling_face_with_smiling_eyes:']",Direct,EMOTIONALITY
bitter disappointment,😡🤦,"[':pouting_face:', ':person_facepalming:']",Direct,EMOTIONALITY
quiet sadness,😔💧,"[':pensive_face:', ':droplet:']",Direct,EMOTIONALITY
just referee,⚖️🏅,"[':balance_scale:', ':sports_medal:']",Direct,FAIRNESS
honest umpire,🤝⚾,"[':handshake:', ':baseball:']",Direct,FAIRNESS
equitable deal,🤝💰,"[':handshake:', ':money_bag:']",Direct,FAIRNESS
unbiased judge,⚖️👩‍⚖️,"[':balance_scale:', ':woman_judge:']",Direct,FAIRNESS
level playing field,⚽🌐,"[':soccer_ball:', ':globe_with_meridians:']",Direct,FAIRNESS
impartial call,🚨🤷,"[':police_car_light:', ':person_shrugging:']",Direct,FAIRNESS
neutral stance,🧍⚖️,"[':person_standing:', ':balance_scale:']",Direct,FAIRNESS
polite address,🙏🎩,"[':folded_hands:', ':top_hat:']",Direct,FORMALITY
official letter,📜🏛️,"[':scroll:', ':classical_building:']",Direct,FORMALITY
ceremonial outfit,🎖️🤵,"[':military_medal:', ':person_in_tuxedo:']",Direct,FORMALITY
stiff protocol,📏👮,"[':straight_ruler:', ':police_officer:']",Direct,FORMALITY
formal invitation,💌🎀,"[':love_letter:', ':ribbon:']",Direct,FORMALITY
proper greeting,🙇‍♂️🙇‍♀️,"[':man_bowing:', ':woman_bowing:']",Direct,FORMALITY
official stance,🏛️🧍,"[':classical_building:', ':person_standing:']",Direct,FORMALITY
crisp salad,🥗🌱,"[':green_salad:', ':seedling:']",Direct,FRESHNESS
newly picked apple,🆕🍎,"[':NEW_button:', ':red_apple:']",Direct,FRESHNESS
morning dew,🌅💧,"[':sunrise:', ':droplet:']",Direct,FRESHNESS
refreshing beverage,🧊🥤,"[':ice:', ':cup_with_straw:']",Direct,FRESHNESS
just-baked pastry,🆕🥐,"[':NEW_button:', ':croissant:']",Direct,FRESHNESS
garden herbs,🌿🆕,"[':herb:', ':NEW_button:']",Direct,FRESHNESS
breezy dawn,🌬️🌅,"[':wind_face:', ':sunrise:']",Direct,FRESHNESS
warm welcome,🤗👏,"[':hugging_face:', ':clapping_hands:']",Direct,FRIENDLINESS
amiable chat,😄💬,"[':smiling_face_with_open_mouth:', ':speech_balloon:']",Direct,FRIENDLINESS
pleasant group,👥😊,"[':busts_in_silhouette:', ':smiling_face_with_smiling_eyes:']",Direct,FRIENDLINESS
kind wave,👋🙂,"[':waving_hand:', ':slightly_smiling_face:']",Direct,FRIENDLINESS
cordial handshake,🙌🤝,"[':raising_hands:', ':handshake:']",Direct,FRIENDLINESS
affectionate pat,💕👋,"[':two_hearts:', ':waving_hand:']",Direct,FRIENDLINESS
gentle support,🫂💕,"[':people_hugging:', ':two_hearts:']",Direct,FRIENDLINESS
packed suitcase,🧳📦,"[':luggage:', ':package:']",Direct,FULLNESS
crowded venue,👥🏟️,"[':busts_in_silhouette:', ':stadium:']",Direct,FULLNESS
jammed drawer,🗄️📚,"[':file_cabinet:', ':books:']",Direct,FULLNESS
stuffed fridge,🍕🍗🥛,"[':pizza:', ':poultry_leg:', ':glass_of_milk:']",Direct,FULLNESS
bursting inbox,📨🔔,"[':incoming_envelope:', ':bell:']",Direct,FULLNESS
loaded trunk,🚗🧳,"[':automobile:', ':luggage:']",Direct,FULLNESS
teeming basket,🧺🍎🍌,"[':basket:', ':red_apple:', ':banana:']",Direct,FULLNESS
elevated bridge,🌉⬆️,"[':bridge_at_night:', ':up_arrow:']",Direct,HEIGHT
lofty tower,🗼📈,"[':Tokyo_tower:', ':chart_increasing:']",Direct,HEIGHT
tall giraffe,🦒👆,"[':giraffe:', ':backhand_index_pointing_up:']",Direct,HEIGHT
raised platform,🪜🎤,"[':ladder:', ':microphone:']",Direct,HEIGHT
upper shelf,🔝🗄️,"[':TOP_arrow:', ':file_cabinet:']",Direct,HEIGHT
high vantage,🏔️👀,"[':snow_capped_mountain:', ':eyes:']",Direct,HEIGHT
towering crane,🏗️⬆️,"[':building_construction:', ':up_arrow:']",Direct,HEIGHT
main priority,📌‼️,"[':pushpin:', ':double_exclamation_mark:']",Direct,IMPORTANCE
key agenda,🗝️📋,"[':old_key:', ':clipboard:']",Direct,IMPORTANCE
prime matter,💎🔝,"[':gem_stone:', ':TOP_arrow:']",Direct,IMPORTANCE
central issue,🌐⚠️,"[':globe_with_meridians:', ':warning:']",Direct,IMPORTANCE
crucial highlight,🔦❗,"[':flashlight:', ':red_exclamation_mark:']",Direct,IMPORTANCE
leading factor,🏅➡️,"[':sports_medal:', ':right_arrow:']",Direct,IMPORTANCE
principal concern,🏛️😰,"[':classical_building:', ':anxious_face_with_sweat:']",Direct,IMPORTANCE
bright student,💡🎓,"[':light_bulb:', ':graduation_cap:']",Direct,INTELLIGENCE
clever inventor,🤓⚙️,"[':nerd_face:', ':gear:']",Direct,INTELLIGENCE
smart robot,🤖🧠,"[':robot:', ':brain:']",Direct,INTELLIGENCE
wise advisor,🧙💭,"[':mage:', ':thought_balloon:']",Direct,INTELLIGENCE
quick thinker,⚡🤔,"[':high_voltage:', ':thinking_face:']",Direct,INTELLIGENCE
sharp mind,🪒🧠,"[':razor:', ':brain:']",Direct,INTELLIGENCE
resourceful solver,🧠🧩,"[':brain:', ':jigsaw:']",Direct,INTELLIGENCE
exciting match,🎉⚽,"[':party_popper:', ':soccer_ball:']",Direct,INTEREST
intriguing puzzle,🧠🧩,"[':brain:', ':jigsaw:']",Direct,INTEREST
captivating performance,🎭⭐,"[':performing_arts:', ':star:']",Direct,INTEREST
fascinating book,📖✨,"[':open_book:', ':sparkles:']",Direct,INTEREST
enthralling movie,🎬🔥,"[':clapper_board:', ':fire:']",Direct,INTEREST
stimulating lecture,👨‍🏫💡,"[':man_teacher:', ':light_bulb:']",Direct,INTEREST
engaging game,🎮❤️,"[':video_game:', ':red_heart:']",Direct,INTEREST
lawful contract,📜✅,"[':scroll:', ':check_mark_button:']",Direct,LEGALITY
illicit trade,🚫🔌,"[':no_entry_sign:', ':electric_plug:']",Direct,LEGALITY
forbidden item,🛑📦,"[':stop_sign:', ':package:']",Direct,LEGALITY
permitted action,🆗🧍,"[':OK_button:', ':person_standing:']",Direct,LEGALITY
authorized entry,🛂✔️,"[':passport_control:', ':check_mark:']",Direct,LEGALITY
contraband goods,🚨💼,"[':police_car_light:', ':briefcase:']",Direct,LEGALITY
regulated process,⚖️🔄,"[':balance_scale:', ':counterclockwise_arrows_button:']",Direct,LEGALITY
extended rope,📏🪢,"[':straight_ruler:', ':knot:']",Direct,LENGTH
short thread,🤏🧵,"[':pinching_hand:', ':thread:']",Direct,LENGTH
moderate scarf,〰️🧣,"[':wavy_dash:', ':scarf:']",Direct,LENGTH
lengthy wire,🔌📏,"[':electric_plug:', ':straight_ruler:']",Direct,LENGTH
reduced timeline,📉⏰,"[':chart_decreasing:', ':alarm_clock:']",Direct,LENGTH
substantial chain,⛓️📏,"[':chains:', ':straight_ruler:']",Direct,LENGTH
tiny twig,🤏🌿,"[':pinching_hand:', ':herb:']",Direct,LENGTH
glowing hallway,💡🏠,"[':light_bulb:', ':house:']",Direct,LIGHT
dim garage,🔅🚗,"[':dim_button:', ':automobile:']",Direct,LIGHT
luminous porch,✨🚪,"[':sparkles:', ':door:']",Direct,LIGHT
bright corridor,🔆🏢,"[':bright_button:', ':office_building:']",Direct,LIGHT
faint alley,🌘🏙️,"[':waning_crescent_moon:', ':cityscape_at_dusk:']",Direct,LIGHT
radiant balcony,🌟🏢,"[':glowing_star:', ':office_building:']",Direct,LIGHT
shimmering entrance,💫🚪,"[':dizzy:', ':door:']",Direct,LIGHT
spirited discussion,🗣️💥,"[':speaking_head:', ':collision:']",Direct,LIVELINESS
vibrant festival,🎉💃,"[':party_popper:', ':woman_dancing:']",Direct,LIVELINESS
bustling market,🤩🛍️,"[':star-struck:', ':shopping_bags:']",Direct,LIVELINESS
energetic crowd,⚡👥,"[':high_voltage:', ':busts_in_silhouette:']",Direct,LIVELINESS
dynamic parade,🥁🎺,"[':drum:', ':trumpet:']",Direct,LIVELINESS
vigorous dance,🏵️💃,"[':rosette:', ':woman_dancing:']",Direct,LIVELINESS
lively concert,🎶🔥,"[':musical_notes:', ':fire:']",Direct,LIVELINESS
dazzling silver,✨🥈,"[':sparkles:', ':2nd_place_medal:']",Direct,LUMINOSITY
radiant moon,🌕🔆,"[':full_moon:', ':bright_button:']",Direct,LUMINOSITY
glaring headlight,🚘🔆,"[':automobile:', ':bright_button:']",Direct,LUMINOSITY
luminous diamond,💎🌟,"[':gem_stone:', ':glowing_star:']",Direct,LUMINOSITY
gleaming blade,🔪✨,"[':kitchen_knife:', ':sparkles:']",Direct,LUMINOSITY
shiny coin,🪙🔅,"[':coin:', ':dim_button:']",Direct,LUMINOSITY
sparkling eyes,👀🌟,"[':eyes:', ':glowing_star:']",Direct,LUMINOSITY
moderate pace,🚶‍♂️〰️,"[':man_walking:', ':wavy_dash:']",Direct,MODERATION
balanced approach,⚖️➡️,"[':balance_scale:', ':right_arrow:']",Direct,MODERATION
cautious expansion,📈🤏,"[':chart_increasing:', ':pinching_hand:']",Direct,MODERATION
tempered reaction,😐🔥,"[':neutral_face:', ':fire:']",Direct,MODERATION
measured tone,🔈🔅,"[':speaker_low_volume:', ':dim_button:']",Direct,MODERATION
limited supply,🤏📦,"[':pinching_hand:', ':package:']",Direct,MODERATION
scaled response,📏🗣️,"[':straight_ruler:', ':speaking_head:']",Direct,MODERATION
mundane routine,😶🔁,"[':face_without_mouth:', ':repeat:']",Direct,ORDINARINESS
typical outcome,🤷‍♀️📊,"[':woman_shrugging:', ':bar_chart:']",Direct,ORDINARINESS
unremarkable day,😐📆,"[':neutral_face:', ':tear-off_calendar:']",Direct,ORDINARINESS
average skill,🤏🏅,"[':pinching_hand:', ':sports_medal:']",Direct,ORDINARINESS
plain design,📝➡️,"[':memo:', ':right_arrow:']",Direct,ORDINARINESS
banal scenario,😴▶️,"[':sleeping_face:', ':play_button:']",Direct,ORDINARINESS
common sight,👀🔁,"[':eyes:', ':repeat:']",Direct,ORDINARINESS
left corner,👈🔲,"[':backhand_index_pointing_left:', ':black_square_button:']",Direct,POSITION
front row,👀🎟️,"[':eyes:', ':admission_tickets:']",Direct,POSITION
top shelf,🔝🗄️,"[':TOP_arrow:', ':file_cabinet:']",Direct,POSITION
bottom drawer,👇🗄️,"[':backhand_index_pointing_down:', ':file_cabinet:']",Direct,POSITION
side exit,➡️🚪,"[':right_arrow:', ':door:']",Direct,POSITION
center stage,🎭🎯,"[':performing_arts:', ':dart:']",Direct,POSITION
rear seat,👈💺,"[':backhand_index_pointing_left:', ':seat:']",Direct,POSITION
trending meme,📈🤣,"[':chart_increasing:', ':rolling_on_the_floor_laughing:']",Direct,POPULARITY
in-demand product,🛍️📢,"[':shopping_bags:', ':loudspeaker:']",Direct,POPULARITY
viral post,🌐🔥,"[':globe_with_meridians:', ':fire:']",Direct,POPULARITY
beloved song,❤️🎶,"[':red_heart:', ':musical_notes:']",Direct,POPULARITY
famed actor,🎬⭐,"[':clapper_board:', ':star:']",Direct,POPULARITY
sought-after ticket,🔍🎟,"[':magnifying_glass_tilted_right:', ':admission_tickets:']",Direct,POPULARITY
hot topic,💥💬,"[':collision:', ':speech_balloon:']",Direct,POPULARITY
powerless king,🤴❌,"[':prince:', ':cross_mark:']",Direct,POTENCY
weak argument,🗣️🤏,"[':speaking_head:', ':pinching_hand:']",Direct,POTENCY
strong presence,💪🔥,"[':flexed_biceps:', ':fire:']",Direct,POTENCY
forceful push,💥👉,"[':collision:', ':backhand_index_pointing_right:']",Direct,POTENCY
mighty leader,👑💪,"[':crown:', ':flexed_biceps:']",Direct,POTENCY
feeble attempt,😩🤏,"[':weary_face:', ':pinching_hand:']",Direct,POTENCY
robust solution,🏋️‍♀️🧩,"[':woman_lifting_weights:', ':jigsaw:']",Direct,POTENCY
pristine snow,❄️🤍,"[':snowflake:', ':white_heart:']",Direct,PURITY
clean conscience,🧼🧠,"[':soap:', ':brain:']",Direct,PURITY
untainted record,✅📜,"[':check_mark_button:', ':scroll:']",Direct,PURITY
pure spirit,🕊️✨,"[':dove:', ':sparkles:']",Direct,PURITY
unspoiled water,🏔️💧,"[':snow_capped_mountain:', ':droplet:']",Direct,PURITY
uncontaminated air,🌬️🔆,"[':wind_face:', ':bright_button:']",Direct,PURITY
immaculate soul,🔆❤️,"[':bright_button:', ':red_heart:']",Direct,PURITY
ample stock,📦📦👍,"[':package:', ':package:', ':thumbs_up:']",Direct,QUANTITY
sparse resources,🤏🏭,"[':pinching_hand:', ':factory:']",Direct,QUANTITY
abundant harvest,🌾🍅🥔,"[':sheaf_of_rice:', ':tomato:', ':potato:']",Direct,QUANTITY
meager meal,🤏🍽,"[':pinching_hand:', ':fork_and_knife_with_plate:']",Direct,QUANTITY
