EN,EM,Description,Composition strategy,Attribute
extreme anxiety,😰⚡,"[':anxious_face_with_sweat:', ':high_voltage:']",Semantic list,EMOTIONALITY
cheerful excitement,😃🎉,"[':grinning_face_with_big_eyes:', ':party_popper:']",Semantic list,EMOTIONALITY
mild annoyance,😒🤏,"[':unamused_face:', ':pinching_hand:']",Semantic list,EMOTIONALITY
deep sorrow,😭🖤,"[':loudly_crying_face:', ':black_heart:']",Semantic list,EMOTIONALITY
hearty laughter,😂💗,"[':face_with_tears_of_joy:', ':heart_decoration:']",Semantic list,EMOTIONALITY
loving warmth,🥰💞,"[':smiling_face_with_hearts:', ':revolving_hearts:']",Semantic list,EMOTIONALITY
sudden shock,😱⚠️,"[':face_screaming_in_fear:', ':warning:']",Semantic list,EMOTIONALITY
quiet sadness,😔🕯️,"[':pensive_face:', ':candle:']",Semantic list,EMOTIONALITY
brooding mood,😶‍🌫️🌩️,"[':face_in_clouds:', ':cloud_with_lightning:']",Semantic list,EMOTIONALITY
jubilant celebration,🤩🎊,"[':star-struck:', ':confetti_ball:']",Semantic list,EMOTIONALITY
overwhelmed tears,🥺💦,"[':pleading_face:', ':sweat_droplets:']",Semantic list,EMOTIONALITY
anxious doubt,🤔❓,"[':thinking_face:', ':question_mark:']",Semantic list,EMOTIONALITY
envious glare,😒👀,"[':unamused_face:', ':eyes:']",Semantic list,EMOTIONALITY
admiring glance,😊💗,"[':smiling_face_with_smiling_eyes:', ':heart_decoration:']",Semantic list,EMOTIONALITY
flustered blush,😳🌸,"[':flushed_face:', ':cherry_blossom:']",Semantic list,EMOTIONALITY
giggling glee,😆💥,"[':grinning_squinting_face:', ':collision:']",Semantic list,EMOTIONALITY
silent worry,😟🤫,"[':worried_face:', ':shushing_face:']",Semantic list,EMOTIONALITY
gentle fondness,☺️🌼,"[':smiling_face:', ':blossom:']",Semantic list,EMOTIONALITY
brilliant spotlight,🔦🌟,"[':flashlight:', ':glowing_star:']",Semantic list,LUMINOSITY
radiant display,💡✨,"[':light_bulb:', ':sparkles:']",Semantic list,LUMINOSITY
glowing skyline,🌆💫,"[':cityscape_at_dusk:', ':dizzy:']",Semantic list,LUMINOSITY
shimmering star,🌠🌌,"[':shooting_star:', ':milky_way:']",Semantic list,LUMINOSITY
incandescent idea,💡🤔,"[':light_bulb:', ':thinking_face:']",Semantic list,LUMINOSITY
brilliant flame,🔥💡,"[':fire:', ':light_bulb:']",Semantic list,LUMINOSITY
beaming halo,😇💫,"[':smiling_face_with_halo:', ':dizzy:']",Semantic list,LUMINOSITY
blazing sun,☀️🔥,"[':sun:', ':fire:']",Semantic list,LUMINOSITY
luminous dawn,🌅🔆,"[':sunrise:', ':bright_button:']",Semantic list,LUMINOSITY
vivid neon,🌃🔮,"[':night_with_stars:', ':crystal_ball:']",Semantic list,LUMINOSITY
dazzling reflection,🔆🔍,"[':bright_button:', ':magnifying_glass_tilted_right:']",Semantic list,LUMINOSITY
lunar glow,🌕🌔,"[':full_moon:', ':waxing_gibbous_moon:']",Semantic list,LUMINOSITY
sparkling candle,🕯️✨,"[':candle:', ':sparkles:']",Semantic list,LUMINOSITY
radiating lamp,🪔🔅,"[':diya_lamp:', ':dim_button:']",Semantic list,LUMINOSITY
glittering disco,💃🪩,"[':woman_dancing:', ':mirror_ball:']",Semantic list,LUMINOSITY
glossy surface,🔆🪞,"[':bright_button:', ':mirror:']",Semantic list,LUMINOSITY
flickering torch,🏮🔥,"[':red_paper_lantern:', ':fire:']",Semantic list,LUMINOSITY
starry path,🌌🌠,"[':milky_way:', ':shooting_star:']",Semantic list,LUMINOSITY
fiery horizon,🌇🔥,"[':sunset:', ':fire:']",Semantic list,LUMINOSITY
beaming lighthouse,🚨🌊,"[':rotating_light:', ':water_wave:']",Semantic list,LUMINOSITY
malevolent grin,😈🦹,"[':smiling_face_with_horns:', ':man_supervillain:']",Semantic list,EVIL
wicked scheme,👺🗡️,"[':goblin:', ':dagger:']",Semantic list,EVIL
evil entity,👿😾,"[':angry_face_with_horns:', ':pouting_cat:']",Semantic list,EVIL
demonic shadow,🌑👻,"[':new_moon:', ':ghost:']",Semantic list,EVIL
villainous laugh,😈😆,"[':smiling_face_with_horns:', ':grinning_squinting_face:']",Semantic list,EVIL
sinister gaze,🕶️😏,"[':sunglasses:', ':smirking_face:']",Semantic list,EVIL
ominous omen,🔮🕯️,"[':crystal_ball:', ':candle:']",Semantic list,EVIL
haunted presence,🏚️👣,"[':derelict_house:', ':footprints:']",Semantic list,EVIL
malevolent beast,🐉👿,"[':dragon:', ':angry_face_with_horns:']",Semantic list,EVIL
mischievous spirit,🌀🧟,"[':cyclone:', ':zombie:']",Semantic list,EVIL
dark plot,🌑📜,"[':new_moon:', ':scroll:']",Semantic list,EVIL
nefarious act,💀🔪,"[':skull:', ':kitchen_knife:']",Semantic list,EVIL
twisted mind,🧠🔮,"[':brain:', ':crystal_ball:']",Semantic list,EVIL
hateful curse,😡🧙,"[':pouting_face:', ':mage:']",Semantic list,EVIL
shadowy corridor,🌑🚪,"[':new_moon:', ':door:']",Semantic list,EVIL
black magic,🧙‍♂️🔮,"[':man_mage:', ':crystal_ball:']",Semantic list,EVIL
cursed artifact,🏺🕸️,"[':amphora:', ':spider_web:']",Semantic list,EVIL
malicious grin,😏😈,"[':smirking_face:', ':smiling_face_with_horns:']",Semantic list,EVIL
corrupt ghost,👻💀,"[':ghost:', ':skull:']",Semantic list,EVIL
vile pact,🤝🩸,"[':handshake:', ':drop_of_blood:']",Semantic list,EVIL
far left,⬅️💁,"[':left_arrow:', ':person_tipping_hand:']",Semantic list,POSITION
upper top,🔝⬆️,"[':top_arrow:', ':up_arrow:']",Semantic list,POSITION
deep bottom,🔽🔻,"[':downwards_button:', ':red_triangle_pointed_down:']",Semantic list,POSITION
front row,🏷️🙋,"[':label:', ':person_raising_hand:']",Semantic list,POSITION
rear end,🔚🚶,"[':end_arrow:', ':person_walking:']",Semantic list,POSITION
middle ground,🕳️🧍,"[':hole:', ':person_standing:']",Semantic list,POSITION
right corner,↗️🧭,"[':up-right_arrow:', ':compass:']",Semantic list,POSITION
left corner,↖️🧭,"[':up-left_arrow:', ':compass:']",Semantic list,POSITION
center stage,🎭🧍,"[':performing_arts:', ':person_standing:']",Semantic list,POSITION
outer edge,🧱🔲,"[':brick:', ':black_square_button:']",Semantic list,POSITION
top shelf,🗄️⬆️,"[':file_cabinet:', ':up_arrow:']",Semantic list,POSITION
bottom drawer,🗄️⬇️,"[':file_cabinet:', ':down_arrow:']",Semantic list,POSITION
peak position,🔝🏔️,"[':top_arrow:', ':snow-capped_mountain:']",Semantic list,POSITION
lowest point,📉🔻,"[':chart_decreasing:', ':red_triangle_pointed_down:']",Semantic list,POSITION
borderline area,🚧📏,"[':construction:', ':straight_ruler:']",Semantic list,POSITION
central zone,⭕🧍,"[':hollow_red_circle:', ':person_standing:']",Semantic list,POSITION
inner ring,🔘🌀,"[':radio_button:', ':cyclone:']",Semantic list,POSITION
outer ring,⚪🔄,"[':white_circle:', ':counterclockwise_arrows_button:']",Semantic list,POSITION
leading edge,🚀🔼,"[':rocket:', ':up_button:']",Semantic list,POSITION
trailing side,🔽👣,"[':downwards_button:', ':footprints:']",Semantic list,POSITION
short braid,👩‍🦲💇‍♀️,"[':woman_bald:', ':woman_getting_haircut:']",Semantic list,LENGTH
long wig,👩‍🦰🎀,"[':woman_red_hair:', ':ribbon:']",Semantic list,LENGTH
cropped fringe,👩‍🦱✂️,"[':woman_curly_hair:', ':scissors:']",Semantic list,LENGTH
extended ponytail,👱‍♀️🧵,"[':blond-haired_woman:', ':thread:']",Semantic list,LENGTH
buzz cut,👨‍🦲💈,"[':man_bald:', ':barber:']",Semantic list,LENGTH
waist-length hair,🧑‍🦰📏,"[':person_red_hair:', ':straight_ruler:']",Semantic list,LENGTH
trimmed beard,🧔✂️,"[':bearded_person:', ':scissors:']",Semantic list,LENGTH
flowing locks,🧑‍🦱🌊,"[':person_curly_hair:', ':water_wave:']",Semantic list,LENGTH
shoulder cut,👩‍🦳📐,"[':woman_white_hair:', ':triangular_ruler:']",Semantic list,LENGTH
stubbly chin,👨🪒,"[':man:', ':razor:']",Semantic list,LENGTH
tiny ponytail,👦🎀,"[':boy:', ':ribbon:']",Semantic list,LENGTH
lanky braids,👩‍🦱🪢,"[':woman_curly_hair:', ':knot:']",Semantic list,LENGTH
mini bun,👩🕳️,"[':woman:', ':hole:']",Semantic list,LENGTH
short pigtails,👧🏷️,"[':girl:', ':label:']",Semantic list,LENGTH
flowing moustache,👨‍🦰🪗,"[':man_red_hair:', ':accordion:']",Semantic list,LENGTH
tightly cropped,🧑🪮,"[':person:', ':hair_pick:']",Semantic list,LENGTH
layered curls,👩‍🦱🔄,"[':woman_curly_hair:', ':counterclockwise_arrows_button:']",Semantic list,LENGTH
high bun,🧑‍🦳👑,"[':person_white_hair:', ':crown:']",Semantic list,LENGTH
gradual fade,👨‍🦲🌗,"[':man_bald:', ':last_quarter_moon:']",Semantic list,LENGTH
mid-length style,👱🪞,"[':person_blond_hair:', ':mirror:']",Semantic list,LENGTH
ordinary folks,🧍‍♂️🧍‍♀️,"[':man_standing:', ':woman_standing:']",Semantic list,COMMONNESS
typical couple,👫🧍,"[':woman_and_man_holding_hands:', ':person_standing:']",Semantic list,COMMONNESS
everyday crowd,👪🧑,"[':family:', ':person:']",Semantic list,COMMONNESS
standard family,👨‍👩‍👧‍👦🚶,"[':family_man_woman_girl_boy:', ':person_walking:']",Semantic list,COMMONNESS
regular patrons,🧍‍♂️🧍🧍‍♀️,"[':man_standing:', ':person_standing:', ':woman_standing:']",Semantic list,COMMONNESS
common student,👨‍🎓🧑,"[':man_student:', ':person:']",Semantic list,COMMONNESS
casual group,🙎‍♀️🧑‍🦰🧍,"[':woman_pouting:', ':person_red_hair:', ':person_standing:']",Semantic list,COMMONNESS
general audience,👀👥,"[':eyes:', ':busts_in_silhouette:']",Semantic list,COMMONNESS
normal neighbors,🚪👨‍👩‍👦,"[':door:', ':family_man_woman_boy:']",Semantic list,COMMONNESS
plain visitors,🚶‍♀️🚶‍♂️,"[':woman_walking:', ':man_walking:']",Semantic list,COMMONNESS
unspecified persons,🧍‍♂️🧑‍🦳,"[':man_standing:', ':person_white_hair:']",Semantic list,COMMONNESS
anonymous group,👤👥,"[':bust_in_silhouette:', ':busts_in_silhouette:']",Semantic list,COMMONNESS
mundane travelers,🧳🚶,"[':luggage:', ':person_walking:']",Semantic list,COMMONNESS
usual folks,🧑👩,"[':person:', ':woman:']",Semantic list,COMMONNESS
average fans,🙇‍♂️👏,"[':man_bowing:', ':clapping_hands:']",Semantic list,COMMONNESS
typical workers,🧑‍💼🧑‍🔧,"[':office_worker:', ':mechanic:']",Semantic list,COMMONNESS
ordinary citizens,👨‍🔧👩‍🏫,"[':man_mechanic:', ':woman_teacher:']",Semantic list,COMMONNESS
everyday watchers,👀🪑,"[':eyes:', ':chair:']",Semantic list,COMMONNESS
routine gatherers,👥🗣️,"[':busts_in_silhouette:', ':speaking_head:']",Semantic list,COMMONNESS
standard lineup,💈🧍‍♂️,"[':barber:', ':man_standing:']",Semantic list,COMMONNESS
clean sweep,🧹🫧,"[':broom:', ':bubbles:']",Semantic list,CLEANNESS
immaculate home,🏠🧼,"[':house:', ':soap:']",Semantic list,CLEANNESS
sparkling dishes,🍽️💦,"[':fork_and_knife_with_plate:', ':sweat_droplets:']",Semantic list,CLEANNESS
fresh laundry,🧺🌬️,"[':basket:', ':wind_face:']",Semantic list,CLEANNESS
tidy shelf,🗄️✋,"[':file_cabinet:', ':raised_hand:']",Semantic list,CLEANNESS
sterile tools,🧪🩺,"[':test_tube:', ':stethoscope:']",Semantic list,CLEANNESS
washed floor,🧽💧,"[':sponge:', ':droplet:']",Semantic list,CLEANNESS
neat attire,👔✨,"[':necktie:', ':sparkles:']",Semantic list,CLEANNESS
polished car,🚗🧼,"[':automobile:', ':soap:']",Semantic list,CLEANNESS
germ-free zone,🚫🦠,"[':prohibited:', ':microbe:']",Semantic list,CLEANNESS
dust-free furniture,🪑🧴,"[':chair:', ':lotion_bottle:']",Semantic list,CLEANNESS
pure water,💧🌀,"[':droplet:', ':cyclone:']",Semantic list,CLEANNESS
hygienic practice,🧼🖐,"[':soap:', ':hand_with_fingers_splayed:']",Semantic list,CLEANNESS
fresh towel,🧻☁️,"[':roll_of_paper:', ':cloud:']",Semantic list,CLEANNESS
spotless window,🪟✨,"[':window:', ':sparkles:']",Semantic list,CLEANNESS
clean break,🚿❌,"[':shower:', ':cross_mark:']",Semantic list,CLEANNESS
sanitized station,🧴🏷️,"[':lotion_bottle:', ':label:']",Semantic list,CLEANNESS
pristine counter,🧽✨,"[':sponge:', ':sparkles:']",Semantic list,CLEANNESS
disinfected surface,🧼🔬,"[':soap:', ':microscope:']",Semantic list,CLEANNESS
cleansing wipe,🧻🧼,"[':roll_of_paper:', ':soap:']",Semantic list,CLEANNESS
clear vision,👀🔎,"[':eyes:', ':magnifying_glass_tilted_left:']",Semantic list,CLARITY
transparency,🔍🪟,"[':magnifying_glass_tilted_right:', ':window:']",Semantic list,CLARITY
obvious meaning,📃✅,"[':page_with_curl:', ':check_mark_button:']",Semantic list,CLARITY
plain explanation,✏️🗯️,"[':pencil2:', ':right_anger_bubble:']",Semantic list,CLARITY
direct statement,🗣️➡️,"[':speaking_head:', ':right_arrow:']",Semantic list,CLARITY
lucid dream,💤💡,"[':zzz:', ':light_bulb:']",Semantic list,CLARITY
unambiguous sign,📢▶️,"[':loudspeaker:', ':play_button:']",Semantic list,CLARITY
crystal detail,🔮🔎,"[':crystal_ball:', ':magnifying_glass_tilted_left:']",Semantic list,CLARITY
legible text,🔤📖,"[':input_latin_letters:', ':open_book:']",Semantic list,CLARITY
prominent label,🏷️👁️,"[':label:', ':eye:']",Semantic list,CLARITY
evident cause,💡🔦,"[':light_bulb:', ':flashlight:']",Semantic list,CLARITY
distinct path,🛣️➡️,"[':motorway:', ':right_arrow:']",Semantic list,CLARITY
straightforward clue,🧩👉,"[':jigsaw:', ':pointing_right:']",Semantic list,CLARITY
explicit direction,↗️🔑,"[':up-right_arrow:', ':key:']",Semantic list,CLARITY
transparent water,💧🫧,"[':droplet:', ':bubbles:']",Semantic list,CLARITY
plain truth,🗞️📢,"[':newspaper:', ':megaphone:']",Semantic list,CLARITY
visible target,🎯👁️,"[':direct_hit:', ':eye:']",Semantic list,CLARITY
obvious outcome,📈🔍,"[':chart_increasing:', ':magnifying_glass_tilted_right:']",Semantic list,CLARITY
readable sign,🪧👓,"[':placard:', ':glasses:']",Semantic list,CLARITY
sheer outline,📐💡,"[':triangular_ruler:', ':light_bulb:']",Semantic list,CLARITY
bored expression,😐🙄,"[':neutral_face:', ':face_with_rolling_eyes:']",Semantic list,DULLNESS
sluggish day,🐌😴,"[':snail:', ':sleeping_face:']",Semantic list,DULLNESS
wearisome hour,⌛😩,"[':hourglass_done:', ':weary_face:']",Semantic list,DULLNESS
flat response,😑➖,"[':expressionless_face:', ':heavy_minus_sign:']",Semantic list,DULLNESS
drowsy glance,😪👀,"[':sleepy_face:', ':eyes:']",Semantic list,DULLNESS
uninspired mood,🥱😔,"[':yawning_face:', ':pensive_face:']",Semantic list,DULLNESS
lethargic nod,💤🤏,"[':zzz:', ':pinching_hand:']",Semantic list,DULLNESS
tiring conversation,🗨️😶,"[':left_speech_bubble:', ':face_without_mouth:']",Semantic list,DULLNESS
colorless memory,📷⚫,"[':camera:', ':black_circle:']",Semantic list,DULLNESS
mundane schedule,📆😴,"[':calendar:', ':sleeping_face:']",Semantic list,DULLNESS
uneventful trip,🚌😐,"[':bus:', ':neutral_face:']",Semantic list,DULLNESS
drab attire,👕🪣,"[':t-shirt:', ':bucket:']",Semantic list,DULLNESS
monotonous music,🎵😶,"[':musical_note:', ':face_without_mouth:']",Semantic list,DULLNESS
faded excitement,🎉🛌,"[':party_popper:', ':bed:']",Semantic list,DULLNESS
flat game,🎮⏸️,"[':video_game:', ':pause_button:']",Semantic list,DULLNESS
lifeless chat,💬💤,"[':speech_balloon:', ':zzz:']",Semantic list,DULLNESS
spiritless crowd,👥🤥,"[':busts_in_silhouette:', ':lying_face:']",Semantic list,DULLNESS
tedious walk,🚶‍♀️😒,"[':woman_walking:', ':unamused_face:']",Semantic list,DULLNESS
low-energy wave,👋😴,"[':waving_hand:', ':sleeping_face:']",Semantic list,DULLNESS
blank stare,😶📺,"[':face_without_mouth:', ':television:']",Semantic list,DULLNESS
towering tree,🌳🔝,"[':deciduous_tree:', ':top_arrow:']",Semantic list,HEIGHT
high rooftop,🏠🏔️,"[':house:', ':snow-capped_mountain:']",Semantic list,HEIGHT
elevated stage,📶🎭,"[':antenna_bars:', ':performing_arts:']",Semantic list,HEIGHT
lofty balcony,🏢👀,"[':office_building:', ':eyes:']",Semantic list,HEIGHT
steep cliff,🧗‍♂️🪨,"[':man_climbing:', ':rock:']",Semantic list,HEIGHT
vertigo view,😵‍💫🏔️,"[':face_with_spiral_eyes:', ':snow-capped_mountain:']",Semantic list,HEIGHT
rising balloon,🎈⤴️,"[':balloon:', ':arrow_up_small:']",Semantic list,HEIGHT
sky-high plane,✈️🌥️,"[':airplane:', ':sun_behind_large_cloud:']",Semantic list,HEIGHT
tall building,🏢⬆️,"[':office_building:', ':up_arrow:']",Semantic list,HEIGHT
mountain peak,⛰️🌄,"[':mountain:', ':sunrise_over_mountains:']",Semantic list,HEIGHT
soaring bird,🦅☁️,"[':eagle:', ':cloud:']",Semantic list,HEIGHT
top shelf,🔝🗄️,"[':top_arrow:', ':file_cabinet:']",Semantic list,HEIGHT
high antenna,📡📶,"[':satellite_antenna:', ':antenna_bars:']",Semantic list,HEIGHT
hanging bridge,🌉⬆️,"[':bridge_at_night:', ':up_arrow:']",Semantic list,HEIGHT
upper deck,🛳️⤴️,"[':passenger_ship:', ':arrow_up_small:']",Semantic list,HEIGHT
sky tower,🗼🌥️,"[':tokyo_tower:', ':sun_behind_large_cloud:']",Semantic list,HEIGHT
escalating steps,🪜🔼,"[':ladder:', ':up_button:']",Semantic list,HEIGHT
giant ladder,🪜⛰️,"[':ladder:', ':mountain:']",Semantic list,HEIGHT
cliff top,🪨🔝,"[':rock:', ':top_arrow:']",Semantic list,HEIGHT
looming vantage,👀🔭,"[':eyes:', ':telescope:']",Semantic list,HEIGHT
dense stack,📚🧱,"[':books:', ':brick:']",Semantic list,THICKNESS
hefty manual,📖🔩,"[':open_book:', ':nut_and_bolt:']",Semantic list,THICKNESS
layered cake,🎂🍰,"[':birthday_cake:', ':shortcake:']",Semantic list,THICKNESS
thick trunk,🌳🪵,"[':deciduous_tree:', ':wood:']",Semantic list,THICKNESS
fat marker,🖍️📏,"[':crayon:', ':straight_ruler:']",Semantic list,THICKNESS
chunky rope,🪢🧱,"[':knot:', ':brick:']",Semantic list,THICKNESS
stacked pancakes,🥞🧈,"[':pancakes:', ':butter:']",Semantic list,THICKNESS
broad column,🏛️📏,"[':classical_building:', ':straight_ruler:']",Semantic list,THICKNESS
fat logs,🪵🪵,"[':wood:', ':wood:']",Semantic list,THICKNESS
heavy coat,🧥📏,"[':coat:', ':straight_ruler:']",Semantic list,THICKNESS
massive binder,📒🪡,"[':ledger:', ':sewing_needle:']",Semantic list,THICKNESS
bulky folder,🗂️⬛,"[':card_box:', ':black_large_square:']",Semantic list,THICKNESS
thick brush,🖌️🎨,"[':paintbrush:', ':artist_palette:']",Semantic list,THICKNESS
robust wall,🧱🔨,"[':brick:', ':hammer:']",Semantic list,THICKNESS
layered blanket,🛏️🧺,"[':bed:', ':basket:']",Semantic list,THICKNESS
chunky yarn,🧶🪢,"[':yarn:', ':knot:']",Semantic list,THICKNESS
plump pillow,🛏️💤,"[':bed:', ':zzz:']",Semantic list,THICKNESS
multilayer lasagna,🍝🍛,"[':spaghetti:', ':curry_rice:']",Semantic list,THICKNESS
thick dictionary,📕📘,"[':closed_book:', ':blue_book:']",Semantic list,THICKNESS
dense forest,🌲🌲,"[':evergreen_tree:', ':evergreen_tree:']",Semantic list,THICKNESS
hot oven,🔥🍞,"[':fire:', ':bread:']",Semantic list,TEMPERATURE
icy chill,❄️🥶,"[':snowflake:', ':cold_face:']",Semantic list,TEMPERATURE
lukewarm tea,🍵♨️,"[':teacup_without_handle:', ':hot_springs:']",Semantic list,TEMPERATURE
mild breeze,🌬️🍃,"[':wind_face:', ':leaf_fluttering_in_wind:']",Semantic list,TEMPERATURE
fiery skillet,🍳🔥,"[':cooking:', ':fire:']",Semantic list,TEMPERATURE
frozen pond,🧊🏔️,"[':ice_cube:', ':snow-capped_mountain:']",Semantic list,TEMPERATURE
warm blanket,🛏️♨️,"[':bed:', ':hot_springs:']",Semantic list,TEMPERATURE
hot desert,🏜️🌞,"[':desert:', ':sun_with_face:']",Semantic list,TEMPERATURE
cool breeze,🌬️🌸,"[':wind_face:', ':cherry_blossom:']",Semantic list,TEMPERATURE
heated argument,😡🔥,"[':pouting_face:', ':fire:']",Semantic list,TEMPERATURE
frosty breath,😮‍💨❄️,"[':face_exhaling:', ':snowflake:']",Semantic list,TEMPERATURE
chilly storage,🧊🚚,"[':ice_cube:', ':delivery_truck:']",Semantic list,TEMPERATURE
steaming soup,🍲♨️,"[':pot_of_food:', ':hot_springs:']",Semantic list,TEMPERATURE
searing pain,🤕🌡️,"[':face_with_head-bandage:', ':thermometer:']",Semantic list,TEMPERATURE
muggy room,💦🏠,"[':sweat_droplets:', ':house:']",Semantic list,TEMPERATURE
warm handshake,🤝🌡️,"[':handshake:', ':thermometer:']",Semantic list,TEMPERATURE
heated metal,⚒️🔥,"[':hammer_and_pick:', ':fire:']",Semantic list,TEMPERATURE
frozen treat,🍦🧊,"[':soft_ice_cream:', ':ice_cube:']",Semantic list,TEMPERATURE
tepid bath,🛀🌡️,"[':person_taking_bath:', ':thermometer:']",Semantic list,TEMPERATURE
scorching sun,🌞🔥,"[':sun_with_face:', ':fire:']",Semantic list,TEMPERATURE
deep reflection,🤔🌊,"[':thinking_face:', ':water_wave:']",Semantic list,DEPTH
profound sadness,😢🌊,"[':crying_face:', ':water_wave:']",Semantic list,DEPTH
intense secret,🤫🔒,"[':shushing_face:', ':locked:']",Semantic list,DEPTH
bottomless pit,🕳️⚫,"[':hole:', ':black_circle:']",Semantic list,DEPTH
deep ocean,🌊🐚,"[':water_wave:', ':spiral_shell:']",Semantic list,DEPTH
mysterious cavern,🕳️🔦,"[':hole:', ':flashlight:']",Semantic list,DEPTH
grave silence,⚱️🤐,"[':funeral_urn:', ':zipper_mouth_face:']",Semantic list,DEPTH
hidden meaning,🔑🌀,"[':key:', ':cyclone:']",Semantic list,DEPTH
immense guilt,😓🌑,"[':sweat:', ':new_moon:']",Semantic list,DEPTH
tunnel vision,👀🕳️,"[':eyes:', ':hole:']",Semantic list,DEPTH
full immersion,🛁🤿,"[':bathtub:', ':diving_mask:']",Semantic list,DEPTH
philosophical puzzle,🤔❔,"[':thinking_face:', ':grey_question:']",Semantic list,DEPTH
spiritual dive,🧘‍♂️💫,"[':man_in_lotus_position:', ':dizzy:']",Semantic list,DEPTH
emotional crater,😞🕳️,"[':disappointed_face:', ':hole:']",Semantic list,DEPTH
sunken treasure,🏴‍☠️🗺️,"[':pirate_flag:', ':world_map:']",Semantic list,DEPTH
hidden sorrow,😔🗝️,"[':pensive_face:', ':key:']",Semantic list,DEPTH
deep resonance,🎶🔊,"[':musical_notes:', ':loud_sound:']",Semantic list,DEPTH
weighted secret,🔒⚖️,"[':locked:', ':balance_scale:']",Semantic list,DEPTH
lasting ache,😖💢,"[':confounded_face:', ':anger_symbol:']",Semantic list,DEPTH
soulful gaze,😥✨,"[':sad_but_relieved_face:', ':sparkles:']",Semantic list,DEPTH
happy retreat,🏖️😌,"[':beach_with_umbrella:', ':relieved_face:']",Semantic list,PLEASANTNESS
blissful dream,😴💭,"[':sleeping_face:', ':thought_balloon:']",Semantic list,PLEASANTNESS
