EN,EM,Description,Composition strategy,Attribute
brown trunk,🌳,[':deciduous_tree:'],Single,COLOR
upper shelf,📚,[':books:'],Single,POSITION
left corner,⬅️,[':left_arrow:'],Single,POSITION
center circle,⭕,[':hollow_red_circle:'],Single,POSITION
right corner,➡️,[':right_arrow:'],Single,POSITION
front gate,🚪,[':door:'],Single,POSITION
back alley,🌆,[':cityscape_at_dusk:'],Single,POSITION
north star,⭐,[':star:'],Single,POSITION
southern tip,🌏,[':globe_showing_asia-australia:'],Single,POSITION
eastern view,🌅,[':sunrise:'],Single,POSITION
western shore,🌄,[':sunrise_over_mountains:'],Single,POSITION
correct response,✅,[':check_mark_button:'],Single,CORRECTNESS
accurate guess,🎯,[':direct_hit:'],Single,CORRECTNESS
exact calculation,🔢,[':input_numbers:'],Single,CORRECTNESS
faultless logic,♟️,[':chess_pawn:'],Single,CORRECTNESS
spot-on remark,💬,[':speech_balloon:'],Single,CORRECTNESS
precise aim,🏹,[':bow_and_arrow:'],Single,CORRECTNESS
right call,📞,[':telephone_receiver:'],Single,CORRECTNESS
valid point,🖊️,[':pen:'],Single,CORRECTNESS
true statement,✅,[':check_mark_button:'],Single,CORRECTNESS
verifiable data,💾,[':floppy_disk:'],Single,CORRECTNESS
just move,👍,[':thumbs_up:'],Single,RIGHTNESS
good deed,🤝,[':handshake:'],Single,RIGHTNESS
noble act,🦸,[':superhero:'],Single,RIGHTNESS
upright stance,🧍,[':person_standing:'],Single,RIGHTNESS
virtuous cause,⚖️,[':balance_scale:'],Single,RIGHTNESS
proper conduct,🤵,[':man_in_tuxedo:'],Single,RIGHTNESS
righteous path,🛣️,[':motorway:'],Single,RIGHTNESS
well-deserved praise,🏅,[':sports_medal:'],Single,RIGHTNESS
honorable mention,🔖,[':bookmark:'],Single,RIGHTNESS
worthy effort,🤲,[':palms_up_together:'],Single,RIGHTNESS
short trunk,🦔,[':hedgehog:'],Single,LENGTH
brief note,🗒️,[':spiral_notepad:'],Single,LENGTH
tiny novel,📗,[':green_book:'],Single,LENGTH
abbreviated form,✂️,[':scissors:'],Single,LENGTH
compact speech,🗣️,[':speaking_head:'],Single,LENGTH
truncated list,🔢,[':input_numbers:'],Single,LENGTH
miniature sign,🪧,[':placard:'],Single,LENGTH
shallow script,📝,[':memo:'],Single,LENGTH
concise text,📄,[':page_facing_up:'],Single,LENGTH
small fraction,➗,[':division_sign:'],Single,LENGTH
remote outpost,🏕️,[':camping:'],Single,DISTANCE
distant galaxy,🌌,[':milky_way:'],Single,DISTANCE
far horizon,🌅,[':sunrise:'],Single,DISTANCE
remote island,🏝️,[':desert_island:'],Single,DISTANCE
long shot,📷,[':camera:'],Single,DISTANCE
expansive field,🌾,[':sheaf_of_rice:'],Single,DISTANCE
isolated cabin,🏚️,[':derelict_house:'],Single,DISTANCE
outer rim,🪐,[':ringed_planet:'],Single,DISTANCE
far-reaching plan,📜,[':scroll:'],Single,DISTANCE
unreachable peak,🏔️,[':snow-capped_mountain:'],Single,DISTANCE
mundane chore,🧹,[':broom:'],Single,ORDINARINESS
plain outfit,👕,[':t-shirt:'],Single,ORDINARINESS
everyday meal,🍽️,[':fork_and_knife_plate:'],Single,ORDINARINESS
typical errand,🛒,[':shopping_cart:'],Single,ORDINARINESS
simple routine,🔁,[':repeat:'],Single,ORDINARINESS
standard protocol,📃,[':page_with_curl:'],Single,ORDINARINESS
common route,🚌,[':bus:'],Single,ORDINARINESS
regular schedule,⌚,[':watch:'],Single,ORDINARINESS
unremarkable sky,☁️,[':cloud:'],Single,ORDINARINESS
everyday noise,🔔,[':bell:'],Single,ORDINARINESS
moderate pace,🏃,[':person_running:'],Single,MODERATION
medium heat,🔥,[':fire:'],Single,MODERATION
balanced diet,🥗,[':green_salad:'],Single,MODERATION
measured response,🤔,[':thinking_face:'],Single,MODERATION
steady growth,🌱,[':seedling:'],Single,MODERATION
reserved approach,😐,[':neutral_face:'],Single,MODERATION
tempered reaction,😌,[':relieved_face:'],Single,MODERATION
calm wave,🌊,[':water_wave:'],Single,MODERATION
gentle slope,⛰,[':mountain:'],Single,MODERATION
mild flavor,🌶️,[':hot_pepper:'],Single,MODERATION
typical person,👤,[':bust_in_silhouette:'],Single,COMMONNESS
standard model,🖱️,[':computer_mouse:'],Single,COMMONNESS
widespread idea,💭,[':thought_balloon:'],Single,COMMONNESS
ordinary phone,📱,[':mobile_phone:'],Single,COMMONNESS
generic brand,🏷️,[':label:'],Single,COMMONNESS
common practice,📝,[':memo:'],Single,COMMONNESS
basic shape,🔲,[':black_square_button:'],Single,COMMONNESS
ubiquitous sign,🚸,[':children_crossing:'],Single,COMMONNESS
run-of-the-mill bug,🐞,[':lady_beetle:'],Single,COMMONNESS
regular citizen,🧑,[':person:'],Single,COMMONNESS
heavy backpack,🎒,[':backpack:'],Single,WEIGHT
weighty crate,📦,[':package:'],Single,WEIGHT
dense metal,🔩,[':nut_and_bolt:'],Single,WEIGHT
hefty anchor,⚓,[':anchor:'],Single,WEIGHT
massive barbell,🏋️,[':person_lifting_weights:'],Single,WEIGHT
loaded truck,🚚,[':delivery_truck:'],Single,WEIGHT
substantial luggage,🧳,[':luggage:'],Single,WEIGHT
pressing load,♨️,[':hot_springs:'],Single,WEIGHT
burdensome cargo,🚢,[':ship:'],Single,WEIGHT
unwieldy safe,💰,[':money_bag:'],Single,WEIGHT
complete honesty,🫡,[':saluting_face:'],Single,INTEGRITY
upright character,🦒,[':giraffe:'],Single,INTEGRITY
moral backbone,🪗,[':accordion:'],Single,INTEGRITY
true fidelity,💍,[':ring:'],Single,INTEGRITY
ethical code,📜,[':scroll:'],Single,INTEGRITY
sound principle,🕊️,[':dove:'],Single,INTEGRITY
solid reputation,🦺,[':safety_vest:'],Single,INTEGRITY
loyal bond,🤝,[':handshake:'],Single,INTEGRITY
steadfast trait,🏛,[':classical_building:'],Single,INTEGRITY
unbroken promise,🤙,[':call_me_hand:'],Single,INTEGRITY
filled cup,☕,[':hot_beverage:'],Single,FULLNESS
complete bowl,🥣,[':bowl_with_spoon:'],Single,FULLNESS
stuffed suitcase,🧳,[':luggage:'],Single,FULLNESS
packed bag,🛍️,[':shopping_bags:'],Single,FULLNESS
overflowing basket,🧺,[':basket:'],Single,FULLNESS
loaded plate,🍽️,[':fork_and_knife_plate:'],Single,FULLNESS
crammed closet,🚪,[':door:'],Single,FULLNESS
swollen balloon,🎈,[':balloon:'],Single,FULLNESS
brimming glass,🍹,[':tropical_drink:'],Single,FULLNESS
jam-packed stadium,🏟,[':stadium:'],Single,FULLNESS
young child,🧒,[':child:'],Single,AGE
infant stage,👶,[':baby:'],Single,AGE
toddler play,🧸,[':teddy_bear:'],Single,AGE
adolescent phase,👧,[':girl:'],Single,AGE
youthful spirit,🧑‍🎤,[':person_with_headscarf:'],Single,AGE
teen activity,🏫,[':school:'],Single,AGE
fresh graduate,🎓,[':graduation_cap:'],Single,AGE
recent adult,🧑,[':person:'],Single,AGE
early bloomer,🌸,[':cherry_blossom:'],Single,AGE
preteen circle,🧑‍🤝‍🧑,[':people_holding_hands:'],Single,AGE
short person,🧍‍♂️,[':man_standing:'],Single,STATURE
petite figure,🧍‍♀️,[':woman_standing:'],Single,STATURE
small frame,🙎,[':person_pouting:'],Single,STATURE
diminutive profile,👤,[':bust_in_silhouette:'],Single,STATURE
little silhouette,🚶‍♀️,[':woman_walking:'],Single,STATURE
compact build,🚶‍♂️,[':man_walking:'],Single,STATURE
mini stature,🤸,[':person_doing_cartwheel:'],Single,STATURE
undersized stance,🧎,[':person_kneeling:'],Single,STATURE
short figure,👧,[':girl:'],Single,STATURE
tiny presence,🚼,[':baby_symbol:'],Single,STATURE
severe breakdown,💔,[':broken_heart:'],Single,CRISIS
acute problem,❗,[':exclamation_mark:'],Single,CRISIS
grave emergency,🆘,[':sos_button:'],Single,CRISIS
dire warning,⚠️,[':warning:'],Single,CRISIS
critical meltdown,🔌,[':electric_plug:'],Single,CRISIS
pressing danger,⏳,[':hourglass_flowing_sand:'],Single,CRISIS
serious threat,🦠,[':microbe:'],Single,CRISIS
drastic measure,🩺,[':stethoscope:'],Single,CRISIS
life-or-death call,🚑,[':ambulance:'],Single,CRISIS
emergency landing,🛬,[':airplane_arriving:'],Single,CRISIS
thin batter,🥞,[':pancakes:'],Single,CONSISTENCY
watery paint,🎨,[':artist_palette:'],Single,CONSISTENCY
light sauce,🍝,[':spaghetti:'],Single,CONSISTENCY
runny yolk,🍳,[':cooking:'],Single,CONSISTENCY
loose dough,🥖,[':baguette_bread:'],Single,CONSISTENCY
fluid mixture,🧪,[':test_tube:'],Single,CONSISTENCY
thin paste,🧫,[':petri_dish:'],Single,CONSISTENCY
watery pudding,🍮,[':custard:'],Single,CONSISTENCY
light drizzle,🌦️,[':sun_behind_rain_cloud:'],Single,CONSISTENCY
liquid chocolate,🍫,[':chocolate_bar:'],Single,CONSISTENCY
narrow road,🛣️,[':motorway:'],Single,WIDTH
slim margin,📏,[':straight_ruler:'],Single,WIDTH
thin hallway,🚪,[':door:'],Single,WIDTH
fine line,🖊️,[':pen:'],Single,WIDTH
tight passage,🏚,[':derelict_house:'],Single,WIDTH
skinny lane,🛤️,[':railway_track:'],Single,WIDTH
compressed path,🌁,[':foggy:'],Single,WIDTH
slender ribbon,🎀,[':ribbon:'],Single,WIDTH
wafer-thin layer,🧈,[':butter:'],Single,WIDTH
pencil-thin edge,✏️,[':pencil2:'],Single,WIDTH
thick blanket,🛏️,[':bed:'],Single,THICKNESS
dense fog,🌫️,[':fog:'],Single,THICKNESS
heavy gravy,🥘,[':shallow_pan_of_food:'],Single,THICKNESS
chunky stew,🍲,[':pot_of_food:'],Single,THICKNESS
viscous syrup,🍯,[':honey_pot:'],Single,THICKNESS
creamy dip,🥑,[':avocado:'],Single,THICKNESS
rich frosting,🍰,[':shortcake:'],Single,THICKNESS
thick crust,🍕,[':pizza:'],Single,THICKNESS
gooey chocolate,🍫,[':chocolate_bar:'],Single,THICKNESS
coarse paste,🍠,[':roasted_sweet_potato:'],Single,THICKNESS
loving care,🤗,[':hugging_face:'],Single,EMOTIONALITY
happy tears,🥲,[':smiling_face_with_tear:'],Single,EMOTIONALITY
heartfelt hug,🫂,[':people_hugging:'],Single,EMOTIONALITY
gentle comfort,🩵,[':blue_heart:'],Single,EMOTIONALITY
joyful grin,😁,[':beaming_face_with_smiling_eyes:'],Single,EMOTIONALITY
tender sympathy,🤍,[':white_heart:'],Single,EMOTIONALITY
warm affection,❤️,[':red_heart:'],Single,EMOTIONALITY
kind smile,🙂,[':slightly_smiling_face:'],Single,EMOTIONALITY
empathetic nod,🫡,[':saluting_face:'],Single,EMOTIONALITY
caring gesture,🤲,[':palms_up_together:'],Single,EMOTIONALITY
hot stove,♨️,[':hot_springs:'],Single,TEMPERATURE
burning coal,🔥,[':fire:'],Single,TEMPERATURE
scorching desert,🏜️,[':desert:'],Single,TEMPERATURE
steaming tea,🍵,[':teacup_without_handle:'],Single,TEMPERATURE
sweltering sauna,🧖,[':person_in_steamy_room:'],Single,TEMPERATURE
sizzling skillet,🍳,[':cooking:'],Single,TEMPERATURE
feverish chill,🤒,[':face_with_thermometer:'],Single,TEMPERATURE
chilly breeze,❄️,[':snowflake:'],Single,TEMPERATURE
freezing lake,🧊,[':ice:'],Single,TEMPERATURE
arctic climate,🌨️,[':cloud_with_snow:'],Single,TEMPERATURE
flawless skin,🧖‍♀️,[':woman_in_steamy_room:'],Single,PERFECTION
immaculate room,🧹,[':broom:'],Single,PERFECTION
pristine record,💿,[':dvd:'],Single,PERFECTION
ideal form,🤖,[':robot:'],Single,PERFECTION
spotless surface,🪣,[':bucket:'],Single,PERFECTION
unblemished fruit,🍎,[':red_apple:'],Single,PERFECTION
perfect performance,🏅,[':sports_medal:'],Single,PERFECTION
flawless diamond,💎,[':gem_stone:'],Single,PERFECTION
exquisite design,🧩,[':jigsaw:'],Single,PERFECTION
model example,📝,[':memo:'],Single,PERFECTION
crystal water,💧,[':droplet:'],Single,CLEARNESS
transparent pane,🪟,[':window:'],Single,CLEARNESS
lucid dream,💤,[':zzz:'],Single,CLEARNESS
transparent intention,🪞,[':mirror:'],Single,CLEARNESS
pure vision,👁️,[':eye:'],Single,CLEARNESS
clear path,🚶,[':person_walking:'],Single,CLEARNESS
open horizon,🌄,[':sunrise_over_mountains:'],Single,CLEARNESS
glassy lake,🦢,[':swan:'],Single,CLEARNESS
translucent veil,🩰,[':ballet_shoes:'],Single,CLEARNESS
unclouded view,🔭,[':telescope:'],Single,CLEARNESS
obvious conclusion,🧠,[':brain:'],Single,CLARITY
plain fact,💬,[':speech_balloon:'],Single,CLARITY
understandable rule,📐,[':triangular_ruler:'],Single,CLARITY
coherent explanation,📖,[':open_book:'],Single,CLARITY
distinct message,📨,[':incoming_envelope:'],Single,CLARITY
straightforward talk,🗣️,[':speaking_head:'],Single,CLARITY
unmistakable sign,⛔,[':no_entry:'],Single,CLARITY
clear guideline,📑,[':bookmark_tabs:'],Single,CLARITY
transparent policy,📜,[':scroll:'],Single,CLARITY
definite proof,🧾,[':receipt:'],Single,CLARITY
profound thought,💭,[':thought_balloon:'],Single,DEPTH
bottomless pit,🕳️,[':hole:'],Single,DEPTH
deep ocean,🌊,[':water_wave:'],Single,DEPTH
immersive dream,🌌,[':milky_way:'],Single,DEPTH
submerged cave,🕸️,[':spider_web:'],Single,DEPTH
vast canyon,🕳,[':hole:'],Single,DEPTH
profound silence,🤫,[':shushing_face:'],Single,DEPTH
intense gaze,👁‍🗨,[':eye_in_speech_bubble:'],Single,DEPTH
boundless space,🚀,[':rocket:'],Single,DEPTH
hidden chamber,🚪,[':door:'],Single,DEPTH
low-pitched hum,🌀,[':cyclone:'],Single,PITCH
baritone melody,🎶,[':musical_notes:'],Single,PITCH
bass guitar,🎸,[':guitar:'],Single,PITCH
deep cello,🎻,[':violin:'],Single,PITCH
tenor voice,🗣️,[':speaking_head:'],Single,PITCH
resonant pipe,🪈,[':long_drum:'],Single,PITCH
mezzo tone,🎼,[':musical_score:'],Single,PITCH
rich chorus,👨‍🎤,[':man_singer:'],Single,PITCH
trembling tune,🎵,[':musical_note:'],Single,PITCH
low drone,🚁,[':helicopter:'],Single,PITCH
peak performance,⛰️,[':mountain:'],Single,DEGREE
high tide,🌊,[':water_wave:'],Single,DEGREE
extreme sport,🏄,[':person_surfing:'],Single,DEGREE
maximum effort,💪,[':flexed_biceps:'],Single,DEGREE
top-notch quality,👌,[':ok_hand:'],Single,DEGREE
ultimate challenge,🎮,[':video_game:'],Single,DEGREE
intense flavor,🌶️,[':hot_pepper:'],Single,DEGREE
strong wind,🌬️,[':wind_face:'],Single,DEGREE
elevated risk,⚠️,[':warning:'],Single,DEGREE
supreme authority,👑,[':crown:'],Single,DEGREE
insufficient funds,🏧,[':atm_sign:'],Single,QUANTITY
scarce resource,💧,[':droplet:'],Single,QUANTITY
limited supply,📦,[':package:'],Single,QUANTITY
tiny portion,🥄,[':spoon:'],Single,QUANTITY
sizable stock,💰,[':money_bag:'],Single,QUANTITY
ample harvest,🌽,[':ear_of_corn:'],Single,QUANTITY
bountiful crop,🥕,[':carrot:'],Single,QUANTITY
excess goods,🛒,[':shopping_cart:'],Single,QUANTITY
overflowing bin,🗑️,[':wastebasket:'],Single,QUANTITY
minimal allotment,⚖️,[':balance_scale:'],Single,QUANTITY
pleasant aroma,🌸,[':cherry_blossom:'],Single,PLEASANTNESS
delightful taste,🍨,[':ice_cream:'],Single,PLEASANTNESS
soothing music,🎧,[':headphone:'],Single,PLEASANTNESS
comforting warmth,🌞,[':sun_with_face:'],Single,PLEASANTNESS
enjoyable outing,🎡,[':ferris_wheel:'],Single,PLEASANTNESS
lovely breeze,🍃,[':leaf_fluttering_in_wind:'],Single,PLEASANTNESS
charming scene,🖼️,[':framed_picture:'],Single,PLEASANTNESS
agreeable mood,☺️,[':smiling_face:'],Single,PLEASANTNESS
pleasing ambience,🎶,[':musical_notes:'],Single,PLEASANTNESS
graceful dance,👯,[':people_with_bunny_ears:'],Single,PLEASANTNESS
inner voice,🧘,[':person_in_lotus_position:'],Single,INWARDNESS
internal compass,🧭,[':compass:'],Single,INWARDNESS
deep introspection,🤔,[':thinking_face:'],Single,INWARDNESS
private hope,✨,[':sparkles:'],Single,INWARDNESS
silent thought,🤫,[':shushing_face:'],Single,INWARDNESS
personal insight,🔑,[':key:'],Single,INWARDNESS
internal monologue,🎧,[':headphone:'],Single,INWARDNESS
hidden yearning,💭,[':thought_balloon:'],Single,INWARDNESS
secret feeling,🤐,[':zipper_mouth_face:'],Single,INWARDNESS
subconscious signal,🌀,[':cyclone:'],Single,INWARDNESS
arid soil,🥀,[':wilted_flower:'],Single,WETNESS
dry lips,👄,[':mouth:'],Single,WETNESS
dehydrated land,🏜️,[':desert:'],Single,WETNESS
parched throat,😮‍💨,[':face_exhaling:'],Single,WETNESS
damp cloth,🧻,[':roll_of_paper:'],Single,WETNESS
moist sponge,🧽,[':sponge:'],Single,WETNESS
soaking towel,🩳,[':shorts:'],Single,WETNESS
wet pavement,💧,[':droplet:'],Single,WETNESS
dripping faucet,🚰,[':potable_water:'],Single,WETNESS
soggy shoes,👟,[':running_shoe:'],Single,WETNESS
mighty punch,🥊,[':boxing_glove:'],Single,STRENGTH
powerful push,🤛,[':left_facing_fist:'],Single,STRENGTH
strong grip,🤜,[':right_facing_fist:'],Single,STRENGTH
unbreakable shield,🛡️,[':shield:'],Single,STRENGTH
robust fortress,🏰,[':castle:'],Single,STRENGTH
sturdy pillar,🗿,[':moai:'],Single,STRENGTH
steady hold,✊,[':raised_fist:'],Single,STRENGTH
resilient chain,⛓️,[':chains:'],Single,STRENGTH
forceful strike,⚔️,[':crossed_swords:'],Single,STRENGTH
tough exterior,🦾,[':mechanical_arm:'],Single,STRENGTH
fresh perspective,🔎,[':magnifying_glass_tilted_left:'],Single,FRESHNESS
revitalizing shower,🚿,[':shower:'],Single,FRESHNESS
crisp morning,🌅,[':sunrise:'],Single,FRESHNESS
newly-picked fruit,🍏,[':green_apple:'],Single,FRESHNESS
renewed spirit,🔋,[':battery:'],Single,FRESHNESS
refreshed memory,🧠,[':brain:'],Single,FRESHNESS
rejuvenated skin,🛀,[':person_taking_bath:'],Single,FRESHNESS
breezy outlook,🍃,[':leaf_fluttering_in_wind:'],Single,FRESHNESS
invigorating walk,🚶,[':person_walking:'],Single,FRESHNESS
lively tune,🎼,[':musical_score:'],Single,FRESHNESS
spotless water,💦,[':sweat_droplets:'],Single,PURITY
pristine conscience,😇,[':smiling_face_with_halo:'],Single,PURITY
uncontaminated air,🌬️,[':wind_face:'],Single,PURITY
clean record,📝,[':memo:'],Single,PURITY
pure intentions,🦢,[':swan:'],Single,PURITY
sterile surface,🧴,[':lotion_bottle:'],Single,PURITY
untainted truth,📜,[':scroll:'],Single,PURITY
immaculate soul,🕊️,[':dove:'],Single,PURITY
clean slate,♻️,[':recycling_symbol:'],Single,PURITY
virgin land,⛰️,[':mountain:'],Single,PURITY
logical argument,🤔,[':thinking_face:'],Single,REASONABLENESS
sensible request,🙏,[':folded_hands:'],Single,REASONABLENESS
fair assumption,⚖️,[':balance_scale:'],Single,REASONABLENESS
rational plan,🗺️,[':world_map:'],Single,REASONABLENESS
coherent method,🔧,[':wrench:'],Single,REASONABLENESS
logical deduction,📝,[':memo:'],Single,REASONABLENESS
wise decision,🤝,[':handshake:'],Single,REASONABLENESS
proper conclusion,📚,[':books:'],Single,REASONABLENESS
balanced judgement,🤷,[':person_shrugging:'],Single,REASONABLENESS
practical advice,🧩,[':jigsaw:'],Single,REASONABLENESS
entire package,📦,[':package:'],Single,COMPLETENESS
finished puzzle,🧩,[':jigsaw:'],Single,COMPLETENESS
whole set,♟️,[':chess_pawn:'],Single,COMPLETENESS
total sum,➕,[':heavy_plus_sign:'],Single,COMPLETENESS
all-inclusive meal,🍱,[':bento_box:'],Single,COMPLETENESS
absolute picture,🖼️,[':framed_picture:'],Single,COMPLETENESS
comprehensive list,📋,[':clipboard:'],Single,COMPLETENESS
entire truth,📖,[':open_book:'],Single,COMPLETENESS
final product,✅,[':check_mark_button:'],Single,COMPLETENESS
fulfilled quota,📈,[':chart_increasing:'],Single,COMPLETENESS
