EN,EM,Description,Composition strategy,Attribute
usual routine,🔄🔄,"[':repeat:', ':repeat:']",Reduplication,COMMONNESS
standard approach,🛣️🛣️,"[':motorway:', ':motorway:']",Reduplication,COMMONNESS
regular customer,🧍🧍,"[':person_standing:', ':person_standing:']",Reduplication,COMMONNESS
normal schedule,🕒🕒,"[':three_oclock:', ':three_oclock:']",Reduplication,COMMONNESS
common language,💬💬,"[':speech_balloon:', ':speech_balloon:']",Reduplication,COMMONNESS
frequent visitor,🚶🚶,"[':person_walking:', ':person_walking:']",Reduplication,COMMONNESS
usual suspect,🤔🤔,"[':thinking_face:', ':thinking_face:']",Reduplication,COMMONNESS
common ground,🌍🌍,"[':globe_showing_europe_africa:', ':globe_showing_europe_africa:']",Reduplication,COMMONNESS
typical pattern,♻️♻️,"[':recycling_symbol:', ':recycling_symbol:']",Reduplication,COMMONNESS
normal pace,🏃🏃,"[':person_running:', ':person_running:']",Reduplication,COMMONNESS
standard tool,🔧🔧,"[':wrench:', ':wrench:']",Reduplication,COMMONNESS
regular supply,📦📦,"[':package:', ':package:']",Reduplication,COMMONNESS
frequent phrase,💭💭,"[':thought_balloon:', ':thought_balloon:']",Reduplication,COMMONNESS
common reference,📖📖,"[':open_book:', ':open_book:']",Reduplication,COMMONNESS
dense sauce,🍜🍜,"[':steaming_bowl:', ':steaming_bowl:']",Reduplication,CONSISTENCY
creamy dip,🫕🫕,"[':fondue:', ':fondue:']",Reduplication,CONSISTENCY
viscous syrup,🍯🍯,"[':honey_pot:', ':honey_pot:']",Reduplication,CONSISTENCY
thick gravy,🥘🥘,"[':shallow_pan_of_food:', ':shallow_pan_of_food:']",Reduplication,CONSISTENCY
heavy batter,🥣🥣,"[':bowl_with_spoon:', ':bowl_with_spoon:']",Reduplication,CONSISTENCY
gooey mixture,🧈🧈,"[':butter:', ':butter:']",Reduplication,CONSISTENCY
lumpy mash,🥔🥔,"[':potato:', ':potato:']",Reduplication,CONSISTENCY
chunky stew,🍲🍲,"[':pot_of_food:', ':pot_of_food:']",Reduplication,CONSISTENCY
fudgy texture,🍫🍫,"[':chocolate_bar:', ':chocolate_bar:']",Reduplication,CONSISTENCY
sticky dough,🍞🍞,"[':bread:', ':bread:']",Reduplication,CONSISTENCY
smooth filling,🥟🥟,"[':dumpling:', ':dumpling:']",Reduplication,CONSISTENCY
glutinous rice,🍙🍙,"[':rice_ball:', ':rice_ball:']",Reduplication,CONSISTENCY
thick marinade,🥫🥫,"[':canned_food:', ':canned_food:']",Reduplication,CONSISTENCY
dense paste,🧄🧄,"[':garlic:', ':garlic:']",Reduplication,CONSISTENCY
muddy blend,🌋🌋,"[':volcano:', ':volcano:']",Reduplication,CONSISTENCY
heavy spread,🧀🧀,"[':cheese_wedge:', ':cheese_wedge:']",Reduplication,CONSISTENCY
endless loop,♾️♾️,"[':infinity:', ':infinity:']",Reduplication,CONTINUITY
constant cycle,🔄🔄,"[':repeat:', ':repeat:']",Reduplication,CONTINUITY
perpetual motion,🔁🔁,"[':repeat_single_button:', ':repeat_single_button:']",Reduplication,CONTINUITY
ongoing trend,📈📈,"[':chart_increasing:', ':chart_increasing:']",Reduplication,CONTINUITY
unbroken chain,🔗🔗,"[':link:', ':link:']",Reduplication,CONTINUITY
ceaseless flow,🌊🌊,"[':water_wave:', ':water_wave:']",Reduplication,CONTINUITY
continuous hum,🎶🎶,"[':musical_notes:', ':musical_notes:']",Reduplication,CONTINUITY
nonstop service,🛎️🛎️,"[':bellhop_bell:', ':bellhop_bell:']",Reduplication,CONTINUITY
unchanging pattern,♻️♻️,"[':recycling_symbol:', ':recycling_symbol:']",Reduplication,CONTINUITY
steady supply,💧💧,"[':droplet:', ':droplet:']",Reduplication,CONTINUITY
ongoing story,📚📚,"[':books:', ':books:']",Reduplication,CONTINUITY
everlasting effect,♾️♾️,"[':infinity:', ':infinity:']",Reduplication,CONTINUITY
persistent rumor,🗣️🗣️,"[':speaking_head:', ':speaking_head:']",Reduplication,CONTINUITY
uninterrupted signal,📶📶,"[':antenna_bars:', ':antenna_bars:']",Reduplication,CONTINUITY
steady beat,❤️❤️,"[':red_heart:', ':red_heart:']",Reduplication,CONTINUITY
recurrent theme,🔁🔁,"[':repeat_single_button:', ':repeat_single_button:']",Reduplication,CONTINUITY
urgent evacuation,🚨🚨,"[':police_car_light:', ':police_car_light:']",Reduplication,CRISIS
dire situation,⚠️⚠️,"[':warning:', ':warning:']",Reduplication,CRISIS
severe meltdown,☢️☢️,"[':radioactive:', ':radioactive:']",Reduplication,CRISIS
extreme alert,❗❗,"[':red_exclamation_mark:', ':red_exclamation_mark:']",Reduplication,CRISIS
emergency shutdown,🛑🛑,"[':stop_sign:', ':stop_sign:']",Reduplication,CRISIS
critical code red,🚑🚑,"[':ambulance:', ':ambulance:']",Reduplication,CRISIS
serious breakdown,💥💥,"[':collision:', ':collision:']",Reduplication,CRISIS
urgent recall,📢📢,"[':loudspeaker:', ':loudspeaker:']",Reduplication,CRISIS
high-stakes moment,⏳⏳,"[':hourglass_flowing_sand:', ':hourglass_flowing_sand:']",Reduplication,CRISIS
dire emergency,🚒🚒,"[':fire_engine:', ':fire_engine:']",Reduplication,CRISIS
major alarm,🔔🔔,"[':bell:', ':bell:']",Reduplication,CRISIS
pressing dilemma,🤯🤯,"[':exploding_head:', ':exploding_head:']",Reduplication,CRISIS
tense standoff,🕰️🕰️,"[':mantelpiece_clock:', ':mantelpiece_clock:']",Reduplication,CRISIS
alarming situation,😨😨,"[':fearful_face:', ':fearful_face:']",Reduplication,CRISIS
imminent danger,🔥🔥,"[':fire:', ':fire:']",Reduplication,CRISIS
serious escalation,🔺🔺,"[':red_triangle_pointed_up:', ':red_triangle_pointed_up:']",Reduplication,CRISIS
crucial vote,🗳️🗳️,"[':ballot_box_with_ballot:', ':ballot_box_with_ballot:']",Reduplication,CRITICALITY
vital piece,🧩🧩,"[':puzzle_piece:', ':puzzle_piece:']",Reduplication,CRITICALITY
key factor,🔑🔑,"[':key:', ':key:']",Reduplication,CRITICALITY
pivotal moment,🌀🌀,"[':cyclone:', ':cyclone:']",Reduplication,CRITICALITY
essential link,🔗🔗,"[':link:', ':link:']",Reduplication,CRITICALITY
paramount decision,⚖️⚖️,"[':balance_scale:', ':balance_scale:']",Reduplication,CRITICALITY
decisive step,👣👣,"[':footprints:', ':footprints:']",Reduplication,CRITICALITY
imperative call,📞📞,"[':telephone_receiver:', ':telephone_receiver:']",Reduplication,CRITICALITY
significant milestone,🎉🎉,"[':party_popper:', ':party_popper:']",Reduplication,CRITICALITY
momentous change,♻️♻️,"[':recycling_symbol:', ':recycling_symbol:']",Reduplication,CRITICALITY
urgent amendment,✒️✒️,"[':black_nib:', ':black_nib:']",Reduplication,CRITICALITY
high-priority task,📌📌,"[':pushpin:', ':pushpin:']",Reduplication,CRITICALITY
imperative vote,🗳️🗳️,"[':ballot_box_with_ballot:', ':ballot_box_with_ballot:']",Reduplication,CRITICALITY
fundamental rule,📏📏,"[':straight_ruler:', ':straight_ruler:']",Reduplication,CRITICALITY
pressing requirement,✅✅,"[':check_mark_button:', ':check_mark_button:']",Reduplication,CRITICALITY
ultimate factor,💠💠,"[':diamond_shape_with_a_dot_inside:', ':diamond_shape_with_a_dot_inside:']",Reduplication,CRITICALITY
extreme heat,🌡️🌡️,"[':thermometer:', ':thermometer:']",Reduplication,DEGREE
extreme cold,❄️❄️,"[':snowflake:', ':snowflake:']",Reduplication,DEGREE
high skill,🏆🏆,"[':trophy:', ':trophy:']",Reduplication,DEGREE
low possibility,❓❓,"[':question_mark:', ':question_mark:']",Reduplication,DEGREE
moderate effort,⚖️⚖️,"[':balance_scale:', ':balance_scale:']",Reduplication,DEGREE
significant impact,💥💥,"[':collision:', ':collision:']",Reduplication,DEGREE
minimal effect,▫️▫️,"[':white_small_square:', ':white_small_square:']",Reduplication,DEGREE
considerable time,⏰⏰,"[':alarm_clock:', ':alarm_clock:']",Reduplication,DEGREE
massive difference,🔀🔀,"[':twisted_rightwards_arrows:', ':twisted_rightwards_arrows:']",Reduplication,DEGREE
slight variation,🔅🔅,"[':dim_button:', ':dim_button:']",Reduplication,DEGREE
excessive force,💪💪,"[':flexed_biceps:', ':flexed_biceps:']",Reduplication,DEGREE
mild tension,😬😬,"[':grimacing_face:', ':grimacing_face:']",Reduplication,DEGREE
extreme focus,🎯🎯,"[':bullseye:', ':bullseye:']",Reduplication,DEGREE
slight shift,🔼🔼,"[':arrow_up_small:', ':arrow_up_small:']",Reduplication,DEGREE
major overhaul,🔧🔧,"[':wrench:', ':wrench:']",Reduplication,DEGREE
minor tweak,🛠️🛠️,"[':hammer_and_wrench:', ':hammer_and_wrench:']",Reduplication,DEGREE
deep sorrow,😭😭,"[':loudly_crying_face:', ':loudly_crying_face:']",Reduplication,DEPTH
deep hole,🕳️🕳️,"[':hole:', ':hole:']",Reduplication,DEPTH
deep ocean,🌊🌊,"[':water_wave:', ':water_wave:']",Reduplication,DEPTH
profound mystery,🌀🌀,"[':cyclone:', ':cyclone:']",Reduplication,DEPTH
deep feeling,💓💓,"[':beating_heart:', ':beating_heart:']",Reduplication,DEPTH
intense reflection,🔮🔮,"[':crystal_ball:', ':crystal_ball:']",Reduplication,DEPTH
deep secret,🤫🤫,"[':shushing_face:', ':shushing_face:']",Reduplication,DEPTH
profound reading,📖📖,"[':open_book:', ':open_book:']",Reduplication,DEPTH
deep architecture,🏛️🏛️,"[':classical_building:', ':classical_building:']",Reduplication,DEPTH
vast abyss,🌌🌌,"[':milky_way:', ':milky_way:']",Reduplication,DEPTH
substantial insight,💡💡,"[':light_bulb:', ':light_bulb:']",Reduplication,DEPTH
infinite well,⛲⛲,"[':fountain:', ':fountain:']",Reduplication,DEPTH
profound bond,🤝🤝,"[':handshake:', ':handshake:']",Reduplication,DEPTH
deep devotion,🛐🛐,"[':place_of_worship:', ':place_of_worship:']",Reduplication,DEPTH
intense focus,😳😳,"[':flushed_face:', ':flushed_face:']",Reduplication,DEPTH
deep resonance,🔔🔔,"[':bell:', ':bell:']",Reduplication,DEPTH
far journey,✈️✈️,"[':airplane:', ':airplane:']",Reduplication,DISTANCE
remote location,🗺️🗺️,"[':world_map:', ':world_map:']",Reduplication,DISTANCE
distant horizon,🌅🌅,"[':sunrise:', ':sunrise:']",Reduplication,DISTANCE
long path,🛣️🛣️,"[':motorway:', ':motorway:']",Reduplication,DISTANCE
faraway mission,🚀🚀,"[':rocket:', ':rocket:']",Reduplication,DISTANCE
vast gap,🌌🌌,"[':milky_way:', ':milky_way:']",Reduplication,DISTANCE
remote island,🏝️🏝️,"[':desert_island:', ':desert_island:']",Reduplication,DISTANCE
distance run,🏃🏃,"[':person_running:', ':person_running:']",Reduplication,DISTANCE
endless desert,🏜️🏜️,"[':desert:', ':desert:']",Reduplication,DISTANCE
long haul,🚛🚛,"[':articulated_lorry:', ':articulated_lorry:']",Reduplication,DISTANCE
outlying post,🏰🏰,"[':castle:', ':castle:']",Reduplication,DISTANCE
remote vantage,🔭🔭,"[':telescope:', ':telescope:']",Reduplication,DISTANCE
long separation,↔️↔️,"[':left_right_arrow:', ':left_right_arrow:']",Reduplication,DISTANCE
far corner,🕍🕍,"[':synagogue:', ':synagogue:']",Reduplication,DISTANCE
distant star,🌟🌟,"[':glowing_star:', ':glowing_star:']",Reduplication,DISTANCE
far side,⤴️⤴️,"[':arrow_pointing_up_right:', ':arrow_pointing_up_right:']",Reduplication,DISTANCE
wicked plot,😈😈,"[':smiling_face_with_horns:', ':smiling_face_with_horns:']",Reduplication,EVIL
malevolent force,👿👿,"[':angry_face_with_horns:', ':angry_face_with_horns:']",Reduplication,EVIL
nefarious plan,💀💀,"[':skull:', ':skull:']",Reduplication,EVIL
villainous scheme,🦹‍♂️🦹‍♂️,"[':man_supervillain:', ':man_supervillain:']",Reduplication,EVIL
dark ritual,🔮🔮,"[':crystal_ball:', ':crystal_ball:']",Reduplication,EVIL
demonic laughter,😈😈,"[':smiling_face_with_horns:', ':smiling_face_with_horns:']",Reduplication,EVIL
bad omen,☠️☠️,"[':skull_and_crossbones:', ':skull_and_crossbones:']",Reduplication,EVIL
sinister grin,😼😼,"[':cat_with_wry_smile:', ':cat_with_wry_smile:']",Reduplication,EVIL
vile presence,🐍🐍,"[':snake:', ':snake:']",Reduplication,EVIL
morbid intent,⚰️⚰️,"[':coffin:', ':coffin:']",Reduplication,EVIL
malicious code,🦠🦠,"[':microbe:', ':microbe:']",Reduplication,EVIL
dark prophecy,🔯🔯,"[':dotted_six-pointed_star:', ':dotted_six-pointed_star:']",Reduplication,EVIL
monstrous act,👹👹,"[':ogre:', ':ogre:']",Reduplication,EVIL
hellish flame,🔥🔥,"[':fire:', ':fire:']",Reduplication,EVIL
cursed object,📿📿,"[':prayer_beads:', ':prayer_beads:']",Reduplication,EVIL
damned fortune,🎲🎲,"[':game_die:', ':game_die:']",Reduplication,EVIL
emotional surge,😢😢,"[':crying_face:', ':crying_face:']",Reduplication,EMOTIONALITY
intense joy,😂😂,"[':face_with_tears_of_joy:', ':face_with_tears_of_joy:']",Reduplication,EMOTIONALITY
melancholic feeling,😞😞,"[':disappointed_face:', ':disappointed_face:']",Reduplication,EMOTIONALITY
overwhelming sadness,😭😭,"[':loudly_crying_face:', ':loudly_crying_face:']",Reduplication,EMOTIONALITY
burst of anger,😠😠,"[':angry_face:', ':angry_face:']",Reduplication,EMOTIONALITY
great excitement,🤩🤩,"[':star-struck:', ':star-struck:']",Reduplication,EMOTIONALITY
emotional tension,😬😬,"[':grimacing_face:', ':grimacing_face:']",Reduplication,EMOTIONALITY
boundless happiness,😊😊,"[':smiling_face_with_smiling_eyes:', ':smiling_face_with_smiling_eyes:']",Reduplication,EMOTIONALITY
intense fear,😱😱,"[':face_screaming_in_fear:', ':face_screaming_in_fear:']",Reduplication,EMOTIONALITY
deep pity,🥺🥺,"[':pleading_face:', ':pleading_face:']",Reduplication,EMOTIONALITY
profound love,❤️❤️,"[':red_heart:', ':red_heart:']",Reduplication,EMOTIONALITY
wild enthusiasm,🤪🤪,"[':zany_face:', ':zany_face:']",Reduplication,EMOTIONALITY
emotional conflict,😕😕,"[':confused_face:', ':confused_face:']",Reduplication,EMOTIONALITY
intense shock,😲😲,"[':astonished_face:', ':astonished_face:']",Reduplication,EMOTIONALITY
emotional meltdown,🤯🤯,"[':exploding_head:', ':exploding_head:']",Reduplication,EMOTIONALITY
blissful relief,😌😌,"[':relieved_face:', ':relieved_face:']",Reduplication,EMOTIONALITY
packed stadium,🏟️🏟️,"[':stadium:', ':stadium:']",Reduplication,FULLNESS
crowded bus,🚌🚌,"[':bus:', ':bus:']",Reduplication,FULLNESS
overflowing cup,☕☕,"[':hot_beverage:', ':hot_beverage:']",Reduplication,FULLNESS
bursting container,📦📦,"[':package:', ':package:']",Reduplication,FULLNESS
jam-packed venue,🏘️🏘️,"[':houses:', ':houses:']",Reduplication,FULLNESS
full plate,🍽️🍽️,"[':fork_and_knife_with_plate:', ':fork_and_knife_with_plate:']",Reduplication,FULLNESS
overflowing bowl,🥣🥣,"[':bowl_with_spoon:', ':bowl_with_spoon:']",Reduplication,FULLNESS
stuffed suitcase,🧳🧳,"[':luggage:', ':luggage:']",Reduplication,FULLNESS
completely booked,📖📖,"[':open_book:', ':open_book:']",Reduplication,FULLNESS
fully loaded,🔋🔋,"[':battery:', ':battery:']",Reduplication,FULLNESS
saturated market,💹💹,"[':chart_increasing_with_yen:', ':chart_increasing_with_yen:']",Reduplication,FULLNESS
crammed schedule,📆📆,"[':tear-off_calendar:', ':tear-off_calendar:']",Reduplication,FULLNESS
brimming glass,🍷🍷,"[':wine_glass:', ':wine_glass:']",Reduplication,FULLNESS
swollen river,🌊🌊,"[':water_wave:', ':water_wave:']",Reduplication,FULLNESS
teeming crowd,👥👥,"[':busts_in_silhouette:', ':busts_in_silhouette:']",Reduplication,FULLNESS
completely occupied,💺💺,"[':seat:', ':seat:']",Reduplication,FULLNESS
big donor,💰💰,"[':money_bag:', ':money_bag:']",Reduplication,GENEROSITY
generous gift,🎁🎁,"[':wrapped_gift:', ':wrapped_gift:']",Reduplication,GENEROSITY
lavish tip,🪙🪙,"[':coin:', ':coin:']",Reduplication,GENEROSITY
charitable act,🤲🤲,"[':palms_up_together:', ':palms_up_together:']",Reduplication,GENEROSITY
bountiful donation,🎉🎉,"[':party_popper:', ':party_popper:']",Reduplication,GENEROSITY
openhanded offer,👐👐,"[':open_hands:', ':open_hands:']",Reduplication,GENEROSITY
magnanimous gesture,🤝🤝,"[':handshake:', ':handshake:']",Reduplication,GENEROSITY
liberal subsidy,💵💵,"[':dollar_banknote:', ':dollar_banknote:']",Reduplication,GENEROSITY
generous sponsor,🏅🏅,"[':sports_medal:', ':sports_medal:']",Reduplication,GENEROSITY
abundant grant,🏦🏦,"[':bank:', ':bank:']",Reduplication,GENEROSITY
ample offering,🍱🍱,"[':bento_box:', ':bento_box:']",Reduplication,GENEROSITY
munificent bonus,💎💎,"[':gem_stone:', ':gem_stone:']",Reduplication,GENEROSITY
rich contribution,🏆🏆,"[':trophy:', ':trophy:']",Reduplication,GENEROSITY
hearty support,🙌🙌,"[':raising_hands:', ':raising_hands:']",Reduplication,GENEROSITY
philanthropic move,🚀🚀,"[':rocket:', ':rocket:']",Reduplication,GENEROSITY
generous heart,❤️❤️,"[':red_heart:', ':red_heart:']",Reduplication,GENEROSITY
tall building,🏢🏢,"[':office_building:', ':office_building:']",Reduplication,HEIGHT
high peak,⛰️⛰️,"[':mountain:', ':mountain:']",Reduplication,HEIGHT
lofty tower,🗼🗼,"[':tokyo_tower:', ':tokyo_tower:']",Reduplication,HEIGHT
soaring height,☁️☁️,"[':cloud:', ':cloud:']",Reduplication,HEIGHT
towering ambition,📈📈,"[':chart_increasing:', ':chart_increasing:']",Reduplication,HEIGHT
elevated risk,⚠️⚠️,"[':warning:', ':warning:']",Reduplication,HEIGHT
sky-high price,💲💲,"[':heavy_dollar_sign:', ':heavy_dollar_sign:']",Reduplication,HEIGHT
steep climb,⛰️⛰️,"[':mountain:', ':mountain:']",Reduplication,HEIGHT
high vantage,🔭🔭,"[':telescope:', ':telescope:']",Reduplication,HEIGHT
lofty aspiration,🏆🏆,"[':trophy:', ':trophy:']",Reduplication,HEIGHT
monumental pillar,🗽🗽,"[':statue_of_liberty:', ':statue_of_liberty:']",Reduplication,HEIGHT
tall tale,📜📜,"[':scroll:', ':scroll:']",Reduplication,HEIGHT
high ceiling,🏠🏠,"[':house:', ':house:']",Reduplication,HEIGHT
overhead limit,🔝🔝,"[':TOP_arrow:', ':TOP_arrow:']",Reduplication,HEIGHT
uplifted spirit,💫💫,"[':dizzy:', ':dizzy:']",Reduplication,HEIGHT
vertical growth,🌱🌱,"[':seedling:', ':seedling:']",Reduplication,HEIGHT
urgent call,📞📞,"[':telephone_receiver:', ':telephone_receiver:']",Reduplication,IMMEDIACY
instant action,⚡⚡,"[':high_voltage:', ':high_voltage:']",Reduplication,IMMEDIACY
quick response,⏱️⏱️,"[':stopwatch:', ':stopwatch:']",Reduplication,IMMEDIACY
immediate effect,⏩⏩,"[':fast_forward_button:', ':fast_forward_button:']",Reduplication,IMMEDIACY
rapid turnaround,🔄🔄,"[':repeat:', ':repeat:']",Reduplication,IMMEDIACY
pressing demand,❗❗,"[':red_exclamation_mark:', ':red_exclamation_mark:']",Reduplication,IMMEDIACY
instant trigger,✨✨,"[':sparkles:', ':sparkles:']",Reduplication,IMMEDIACY
swift closure,🔐🔐,"[':closed_lock_with_key:', ':closed_lock_with_key:']",Reduplication,IMMEDIACY
immediate push,📤📤,"[':outbox_tray:', ':outbox_tray:']",Reduplication,IMMEDIACY
urgent operation,🔧🔧,"[':wrench:', ':wrench:']",Reduplication,IMMEDIACY
instant boost,🚀🚀,"[':rocket:', ':rocket:']",Reduplication,IMMEDIACY
quick fix,🩹🩹,"[':adhesive_bandage:', ':adhesive_bandage:']",Reduplication,IMMEDIACY
prompt reply,📨📨,"[':incoming_envelope:', ':incoming_envelope:']",Reduplication,IMMEDIACY
direct action,🎯🎯,"[':bullseye:', ':bullseye:']",Reduplication,IMMEDIACY
instant relief,💊💊,"[':pill:', ':pill:']",Reduplication,IMMEDIACY
rapid intervention,🆘🆘,"[':SOS_button:', ':SOS_button:']",Reduplication,IMMEDIACY
internal reflection,🤔🤔,"[':thinking_face:', ':thinking_face:']",Reduplication,INWARDNESS
private thought,💭💭,"[':thought_balloon:', ':thought_balloon:']",Reduplication,INWARDNESS
inner turmoil,😣😣,"[':persevering_face:', ':persevering_face:']",Reduplication,INWARDNESS
personal realization,💡💡,"[':light_bulb:', ':light_bulb:']",Reduplication,INWARDNESS
silent prayer,🙏🙏,"[':folded_hands:', ':folded_hands:']",Reduplication,INWARDNESS
secret yearning,🤫🤫,"[':shushing_face:', ':shushing_face:']",Reduplication,INWARDNESS
private hope,✨✨,"[':sparkles:', ':sparkles:']",Reduplication,INWARDNESS
deep introspection,🔮🔮,"[':crystal_ball:', ':crystal_ball:']",Reduplication,INWARDNESS
individual doubt,❓❓,"[':question_mark:', ':question_mark:']",Reduplication,INWARDNESS
soul searching,🕊️🕊️,"[':dove:', ':dove:']",Reduplication,INWARDNESS
hidden worry,😰😰,"[':anxious_face_with_sweat:', ':anxious_face_with_sweat:']",Reduplication,INWARDNESS
unspoken fear,😶😶,"[':face_without_mouth:', ':face_without_mouth:']",Reduplication,INWARDNESS
concealed love,💗💗,"[':growing_heart:', ':growing_heart:']",Reduplication,INWARDNESS
internal conflict,🤯🤯,"[':exploding_head:', ':exploding_head:']",Reduplication,INWARDNESS
subconscious drive,🌙🌙,"[':crescent_moon:', ':crescent_moon:']",Reduplication,INWARDNESS
quiet acceptance,😌😌,"[':relieved_face:', ':relieved_face:']",Reduplication,INWARDNESS
bright lamp,💡💡,"[':light_bulb:', ':light_bulb:']",Reduplication,LUMINOSITY
glowing lantern,🏮🏮,"[':red_paper_lantern:', ':red_paper_lantern:']",Reduplication,LUMINOSITY
radiant beam,🔦🔦,"[':flashlight:', ':flashlight:']",Reduplication,LUMINOSITY
blinding flash,📸📸,"[':camera_with_flash:', ':camera_with_flash:']",Reduplication,LUMINOSITY
dazzling glare,✨✨,"[':sparkles:', ':sparkles:']",Reduplication,LUMINOSITY
shining star,🌟🌟,"[':glowing_star:', ':glowing_star:']",Reduplication,LUMINOSITY
luminous glow,🌕🌕,"[':full_moon:', ':full_moon:']",Reduplication,LUMINOSITY
sparkling crystal,💎💎,"[':gem_stone:', ':gem_stone:']",Reduplication,LUMINOSITY
brilliant idea,💡💡,"[':light_bulb:', ':light_bulb:']",Reduplication,LUMINOSITY
radiant halo,👼👼,"[':angel:', ':angel:']",Reduplication,LUMINOSITY
gleaming mirror,🔮🔮,"[':crystal_ball:', ':crystal_ball:']",Reduplication,LUMINOSITY
glittering lights,🌃🌃,"[':night_with_stars:', ':night_with_stars:']",Reduplication,LUMINOSITY
shimmering reflection,🌅🌅,"[':sunrise:', ':sunrise:']",Reduplication,LUMINOSITY
vivid sparkle,🎆🎆,"[':fireworks:', ':fireworks:']",Reduplication,LUMINOSITY
brilliant color,🌈🌈,"[':rainbow:', ':rainbow:']",Reduplication,LUMINOSITY
bright highlight,📍📍,"[':round_pushpin:', ':round_pushpin:']",Reduplication,LUMINOSITY
left corner,⬅️⬅️,"[':left_arrow:', ':left_arrow:']",Reduplication,POSITION
right edge,➡️➡️,"[':right_arrow:', ':right_arrow:']",Reduplication,POSITION
top spot,🔝🔝,"[':TOP_arrow:', ':TOP_arrow:']",Reduplication,POSITION
bottom line,🔻🔻,"[':red_triangle_pointed_down:', ':red_triangle_pointed_down:']",Reduplication,POSITION
central point,🎯🎯,"[':bullseye:', ':bullseye:']",Reduplication,POSITION
front row,👀👀,"[':eyes:', ':eyes:']",Reduplication,POSITION
back seat,💺💺,"[':seat:', ':seat:']",Reduplication,POSITION
upper level,⏫⏫,"[':fast_up_button:', ':fast_up_button:']",Reduplication,POSITION
lower tier,⏬⏬,"[':fast_down_button:', ':fast_down_button:']",Reduplication,POSITION
outer circle,⚪⚪,"[':white_circle:', ':white_circle:']",Reduplication,POSITION
inner ring,⚫⚫,"[':black_circle:', ':black_circle:']",Reduplication,POSITION
primary location,📍📍,"[':round_pushpin:', ':round_pushpin:']",Reduplication,POSITION
secondary spot,📌📌,"[':pushpin:', ':pushpin:']",Reduplication,POSITION
adjacent area,↔️↔️,"[':left_right_arrow:', ':left_right_arrow:']",Reduplication,POSITION
underneath layer,🔽🔽,"[':downwards_button:', ':downwards_button:']",Reduplication,POSITION
overhead mark,🔼🔼,"[':upwards_button:', ':upwards_button:']",Reduplication,POSITION
huge amount,➕➕,"[':heavy_plus_sign:', ':heavy_plus_sign:']",Reduplication,QUANTITY
small amount,➖➖,"[':heavy_minus_sign:', ':heavy_minus_sign:']",Reduplication,QUANTITY
